model_name,split,accuracy,macro_precision,macro_recall,macro_f1,mae,rmse,pearson,spearman,support,checkpoint_path
custom_transformer,val,0.79,0.7501683501683502,0.796569200779727,0.7622943430245662,0.29837140440940857,0.5422457456588745,0.7565819701111356,0.7363593931715029,100,outputs\phase2\latest\custom_transformer\custom_transformer.pt
custom_transformer,test,0.7128712871287128,0.6945632798573976,0.7176608187134502,0.6782376280359248,0.38408657908439636,0.6442327499389648,0.6248828685068321,0.6594017949933947,101,outputs\phase2\latest\custom_transformer\custom_transformer.pt
phobert,val,0.81,0.7785662152299083,0.7760233918128655,0.7703761755485893,0.23536942899227142,0.47243532538414,0.7997318753939386,0.7883728129403845,100,outputs\phase2\latest\phobert\phobert.pt
phobert,test,0.8514851485148515,0.8439609072469113,0.8430409356725147,0.8410493827160493,0.22710910439491272,0.46640893816947937,0.8072965471408653,0.7627583923227471,101,outputs\phase2\latest\phobert\phobert.pt
