decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2009,55.73951434878587,1.0869745381502864,0.2863898886595132
2,0.9,0.9228,0.0029565207660198207,1854,58.333333333333336,1.0887288127604418,0.3002808845660717
3,0.8,0.7934,0.007136352360248566,1594,63.82085374387684,1.0871222233240878,0.3222091422271006
4,0.7,0.6804,0.010688904114067555,1367,65.54828150572831,1.07286722109612,0.3708339232197053
5,0.6,0.5635,0.014367087371647358,1132,68.67588932806325,1.0742381697875378,0.4208266205013904
6,0.5,0.4515,0.01864018663764,907,73.17073170731707,1.0637208950148413,0.4825072031462425
7,0.4,0.3654,0.023677673190832135,734,78.19548872180451,1.0473247252133775,0.532879309412885
8,0.3,0.3006,0.02832528874278068,604,84.29906542056075,1.0566733048344146,0.5676719019347924
9,0.2,0.2354,0.03472146987915039,473,89.0995260663507,1.058938492284267,0.6468176190362244
10,0.1,0.1946,0.04159157350659372,391,90.48991354466858,1.0184324693704494,0.6874666003391611
