decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2009,55.132450331125824,1.288697382918694,0.36359300790303706
2,0.9,0.9039,0.00337830907665193,1816,58.572300183038436,1.2949113137557446,0.3784269744352844
3,0.8,0.8089,0.006829546671360731,1625,62.62763784887678,1.2960631764271575,0.41268193773669215
4,0.7,0.676,0.01212211735546589,1358,65.79378068739771,1.299244428043353,0.446225899612299
5,0.6,0.5545,0.017913611233234407,1114,69.65174129353234,1.310868559921027,0.47678432847642915
6,0.5,0.4405,0.024615274742245674,885,76.56641604010025,1.3358228168568251,0.4380301095521487
7,0.4,0.3469,0.03173159062862396,697,82.6923076923077,1.3172799952043721,0.4217829923719467
8,0.3,0.2728,0.03874879255890846,548,89.11704312114989,1.2825871477335864,0.3749447524110568
9,0.2,0.2125,0.0480994462966919,427,93.38624338624338,1.188176932514245,0.3034456444123324
10,0.1,0.116,0.06724751591682435,233,98.05825242718447,0.9441074134710501,0.18341637093403573
