decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2009,53.918322295805744,1.0143871902051844,0.2585765622414354
2,0.9,0.9054,0.005035659018903968,1819,57.96217205613179,1.0166861515976162,0.2750082749510323
3,0.8,0.8113,0.009875346533954141,1630,59.85003408316292,1.0094720617727768,0.2908162183423611
4,0.7,0.6511,0.016819015145301822,1308,61.93712829226848,1.0180474021154777,0.27847587121280626
5,0.6,0.4988,0.024005864933133128,1002,65.51724137931035,1.0333048214488254,0.3008791974443924
6,0.5,0.4012,0.030121246352791786,806,69.63788300835655,1.0200050037606396,0.30363738332099205
7,0.4,0.3066,0.03833766654133797,616,76.36363636363637,1.039583372993061,0.24417680519453225
8,0.3,0.2454,0.04654500409960746,493,82.31292517006803,1.0288110354242714,0.21462883214535916
9,0.2,0.2026,0.05547916367650032,407,87.01657458563537,1.016767227863355,0.1694356751191918
10,0.1,0.121,0.07631164044141775,243,89.35185185185185,0.8344508627449118,0.21568288415178954
