decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2009,57.00883002207505,1.006735652211079,0.25439403937569366
2,0.9,0.782,0.012801438197493553,1571,65.79134137686302,1.006578659174715,0.24983589190627173
3,0.8,0.6406,0.021889498829841612,1287,67.18480138169257,0.9678401878320393,0.24298552603999848
4,0.7,0.5022,0.03098723478615284,1009,69.81339187705817,0.9239203415001249,0.24501161696813173
5,0.6,0.3883,0.039757581800222395,780,71.5307582260372,0.8671243061953623,0.23932184169527485
6,0.5,0.3026,0.04857133328914642,608,73.6745886654479,0.8183459992918071,0.20464503568605844
7,0.4,0.2409,0.05433831512928009,484,73.1651376146789,0.7185434883336365,0.2693722906782358
8,0.3,0.1827,0.06131648495793342,367,74.69879518072288,0.7152512631234416,0.27638648365894636
9,0.2,0.1254,0.06989564746618271,252,79.91266375545851,0.7082803739353407,0.38267069372694906
10,0.1,0.0702,0.0817954570055008,141,92.56198347107438,0.6874738388798735,0.36137151003496565
