Model,Symbol,Horizon,Epoch_000_TrainLoss,Epoch_000_ValLoss,Epoch_000_ValClean,Epoch_000_PredMean,Epoch_000_PredPos%,Epoch_000_PredNeg%,Epoch_001_TrainLoss,Epoch_001_ValLoss,Epoch_001_ValClean,Epoch_001_PredMean,Epoch_001_PredPos%,Epoch_001_PredNeg%,Epoch_002_TrainLoss,Epoch_002_ValLoss,Epoch_002_ValClean,Epoch_002_PredMean,Epoch_002_PredPos%,Epoch_002_PredNeg%,Epoch_003_TrainLoss,Epoch_003_ValLoss,Epoch_003_ValClean,Epoch_003_PredMean,Epoch_003_PredPos%,Epoch_003_PredNeg%,Epoch_004_TrainLoss,Epoch_004_ValLoss,Epoch_004_ValClean,Epoch_004_PredMean,Epoch_004_PredPos%,Epoch_004_PredNeg%,Epoch_005_TrainLoss,Epoch_005_ValLoss,Epoch_005_ValClean,Epoch_005_PredMean,Epoch_005_PredPos%,Epoch_005_PredNeg%,Epoch_006_TrainLoss,Epoch_006_ValLoss,Epoch_006_ValClean,Epoch_006_PredMean,Epoch_006_PredPos%,Epoch_006_PredNeg%,Epoch_007_TrainLoss,Epoch_007_ValLoss,Epoch_007_ValClean,Epoch_007_PredMean,Epoch_007_PredPos%,Epoch_007_PredNeg%,Epoch_008_TrainLoss,Epoch_008_ValLoss,Epoch_008_ValClean,Epoch_008_PredMean,Epoch_008_PredPos%,Epoch_008_PredNeg%,Epoch_009_TrainLoss,Epoch_009_ValLoss,Epoch_009_ValClean,Epoch_009_PredMean,Epoch_009_PredPos%,Epoch_009_PredNeg%,Epoch_010_TrainLoss,Epoch_010_ValLoss,Epoch_010_ValClean,Epoch_010_PredMean,Epoch_010_PredPos%,Epoch_010_PredNeg%,Epoch_011_TrainLoss,Epoch_011_ValLoss,Epoch_011_ValClean,Epoch_011_PredMean,Epoch_011_PredPos%,Epoch_011_PredNeg%,Epoch_012_TrainLoss,Epoch_012_ValLoss,Epoch_012_ValClean,Epoch_012_PredMean,Epoch_012_PredPos%,Epoch_012_PredNeg%,Epoch_013_TrainLoss,Epoch_013_ValLoss,Epoch_013_ValClean,Epoch_013_PredMean,Epoch_013_PredPos%,Epoch_013_PredNeg%,Epoch_014_TrainLoss,Epoch_014_ValLoss,Epoch_014_ValClean,Epoch_014_PredMean,Epoch_014_PredPos%,Epoch_014_PredNeg%,Epoch_015_TrainLoss,Epoch_015_ValLoss,Epoch_015_ValClean,Epoch_015_PredMean,Epoch_015_PredPos%,Epoch_015_PredNeg%,BestValLoss,FinalTrainLoss,FinalValLoss,FinalValClean,FinalPredMean,FinalPredPos%,FinalPredNeg%,TestMAE,TestRMSE,TestDA%,TestSharpe,Epoch_016_TrainLoss,Epoch_016_ValLoss,Epoch_016_ValClean,Epoch_016_PredMean,Epoch_016_PredPos%,Epoch_016_PredNeg%,Epoch_017_TrainLoss,Epoch_017_ValLoss,Epoch_017_ValClean,Epoch_017_PredMean,Epoch_017_PredPos%,Epoch_017_PredNeg%,Epoch_018_TrainLoss,Epoch_018_ValLoss,Epoch_018_ValClean,Epoch_018_PredMean,Epoch_018_PredPos%,Epoch_018_PredNeg%,Epoch_019_TrainLoss,Epoch_019_ValLoss,Epoch_019_ValClean,Epoch_019_PredMean,Epoch_019_PredPos%,Epoch_019_PredNeg%,Epoch_020_TrainLoss,Epoch_020_ValLoss,Epoch_020_ValClean,Epoch_020_PredMean,Epoch_020_PredPos%,Epoch_020_PredNeg%,Epoch_021_TrainLoss,Epoch_021_ValLoss,Epoch_021_ValClean,Epoch_021_PredMean,Epoch_021_PredPos%,Epoch_021_PredNeg%,Epoch_022_TrainLoss,Epoch_022_ValLoss,Epoch_022_ValClean,Epoch_022_PredMean,Epoch_022_PredPos%,Epoch_022_PredNeg%,Epoch_023_TrainLoss,Epoch_023_ValLoss,Epoch_023_ValClean,Epoch_023_PredMean,Epoch_023_PredPos%,Epoch_023_PredNeg%,Epoch_024_TrainLoss,Epoch_024_ValLoss,Epoch_024_ValClean,Epoch_024_PredMean,Epoch_024_PredPos%,Epoch_024_PredNeg%
LSTM Baseline,VCB,20,0.3010873036349521,0.031185181811451912,0.1114976778626442,0.08064059168100357,90.82568807339449,9.174311926605505,0.2967163775773609,0.037899550050497055,0.12808488309383392,0.05265682563185692,77.06422018348624,22.93577981651376,0.2854071864310433,0.05198807269334793,0.16391152143478394,0.022997986525297165,53.21100917431193,46.788990825688074,0.26187706957845125,0.07550767809152603,0.19416335225105286,0.03047380968928337,64.22018348623854,35.77981651376147,0.21067564627703497,0.17329886555671692,0.38890355825424194,0.27316683530807495,65.13761467889908,34.862385321100916,0.180198671624941,0.2766667902469635,0.43563514947891235,0.18554311990737915,59.63302752293578,40.36697247706422,0.14708702967447393,0.33535653352737427,0.4065766930580139,0.07184780389070511,53.21100917431193,46.788990825688074,0.1250233571319019,0.5053138732910156,0.5053138732910156,0.07371893525123596,50.45871559633027,49.54128440366973,0.09262114160639398,0.6231616735458374,0.6231616735458374,0.05343963950872421,55.96330275229357,44.03669724770643,0.08103031971875359,0.4656040370464325,0.4656040370464325,0.14357630908489227,55.96330275229357,44.03669724770643,0.0705944972441477,0.624570906162262,0.624570906162262,0.3240729570388794,62.38532110091744,37.61467889908257,0.058942666496424115,0.4700774550437927,0.4700774550437927,0.04363744705915451,50.45871559633027,49.54128440366973,0.04284051811213002,0.6130343079566956,0.6130343079566956,0.044684845954179764,56.88073394495413,43.11926605504588,0.038206913563258504,0.558422327041626,0.558422327041626,0.017919985577464104,50.45871559633027,49.54128440366973,0.03799411424380891,0.5655205249786377,0.5655205249786377,0.08746694028377533,55.96330275229357,44.03669724770643,0.03606566063621465,0.5932096242904663,0.5932096242904663,0.19573171436786652,59.63302752293578,40.36697247706422,0.1114976778626442,0.03606566063621465,0.5932096242904663,0.5932096242904663,0.19573171436786652,59.63302752293578,40.36697247706422,0.06607844746987095,0.0871665206427221,41.37931034482759,0.6614249388258899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,CTG,20,0.3251809696940815,0.1608140468597412,0.2607133388519287,0.180953711271286,100.0,0.0,0.31746380031108856,0.15750384330749512,0.2487921118736267,0.14973236620426178,84.40366972477065,15.59633027522936,0.30279747966457815,0.13557052612304688,0.21520516276359558,0.12393920868635178,72.47706422018348,27.522935779816514,0.2729146261425579,0.1759120374917984,0.3377375602722168,0.33037006855010986,76.14678899082568,23.853211009174313,0.24454952864085927,0.18790903687477112,0.3476100564002991,0.2179507166147232,69.72477064220183,30.275229357798167,0.22774058799533284,0.3340606391429901,0.48181137442588806,0.331705242395401,70.64220183486239,29.357798165137616,0.1745463929632131,0.27454349398612976,0.3230445981025696,0.22495169937610626,68.80733944954129,31.19266055045872,0.13101685825077927,0.4820811152458191,0.4820811152458191,0.2453075498342514,66.97247706422019,33.02752293577982,0.11775480594266863,0.37203919887542725,0.37203919887542725,0.10937948524951935,65.13761467889908,34.862385321100916,0.08508022156927515,0.3879013657569885,0.3879013657569885,0.19820481538772583,66.05504587155964,33.94495412844037,0.07155123659793068,0.4853215217590332,0.4853215217590332,0.05545932054519653,61.46788990825688,38.53211009174312,0.0663307005101267,0.3982616364955902,0.3982616364955902,0.19975821673870087,65.13761467889908,34.862385321100916,0.0590175714562921,0.4386492371559143,0.4386492371559143,0.15375490486621857,62.38532110091744,37.61467889908257,0.03926603244069744,0.4291040897369385,0.4291040897369385,0.1639081984758377,61.46788990825688,38.53211009174312,0.03892897080410929,0.4282131493091583,0.4282131493091583,0.13327552378177643,60.550458715596335,39.44954128440367,0.03431770446545938,0.40149885416030884,0.40149885416030884,0.1723608374595642,62.38532110091744,37.61467889908257,0.21520516276359558,0.030538212042301893,0.43338632583618164,0.43338632583618164,0.09498818218708038,60.550458715596335,39.44954128440367,0.06082001728879228,0.0743487784127641,66.40625,1.5719325387400578,0.03103819368954967,0.4487574100494385,0.4487574100494385,0.14920176565647125,61.46788990825688,38.53211009174312,0.030538212042301893,0.43338632583618164,0.43338632583618164,0.09498818218708038,60.550458715596335,39.44954128440367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,ACB,20,0.32771870187100244,0.11251870542764664,0.21967869997024536,0.1530064046382904,100.0,0.0,0.31024713945739407,0.1271105706691742,0.27083101868629456,0.20218269526958466,97.24770642201835,2.7522935779816518,0.2930695171303609,0.15738950669765472,0.34366434812545776,0.16608047485351562,66.97247706422019,33.02752293577982,0.27920978209551645,0.1496790498495102,0.28473442792892456,0.06492027640342712,51.37614678899083,48.62385321100918,0.21817895682419047,0.14311882853507996,0.23043152689933777,0.1535269021987915,51.37614678899083,48.62385321100918,0.19861730429179528,0.2211146503686905,0.31641656160354614,-0.07713304460048676,36.69724770642202,63.30275229357798,0.15266111788942532,0.31104063987731934,0.36542239785194397,0.04112200066447258,34.862385321100916,65.13761467889908,0.1350366782177897,0.31923621892929077,0.31923621892929077,0.010580183938145638,41.284403669724774,58.71559633027523,0.1102482863866231,0.3496575951576233,0.3496575951576233,-0.1111006811261177,33.02752293577982,66.97247706422019,0.08495503335314639,0.35164403915405273,0.35164403915405273,-0.011020924896001816,46.788990825688074,53.21100917431193,0.07305071985020357,0.37973666191101074,0.37973666191101074,-0.23300059139728546,29.357798165137616,70.64220183486239,0.06407427015330862,0.49263817071914673,0.49263817071914673,-0.009318997152149677,44.95412844036697,55.04587155963303,0.04648734859245665,0.42948105931282043,0.42948105931282043,-0.10521303117275238,39.44954128440367,60.550458715596335,0.038429390091229886,0.43473395705223083,0.43473395705223083,-0.18399111926555634,36.69724770642202,63.30275229357798,0.0346605069387485,0.44417011737823486,0.44417011737823486,-0.13305023312568665,38.53211009174312,61.46788990825688,0.03247384376385633,0.41097787022590637,0.41097787022590637,-0.13283325731754303,36.69724770642202,63.30275229357798,0.21967869997024536,0.03247384376385633,0.41097787022590637,0.41097787022590637,-0.13283325731754303,36.69724770642202,63.30275229357798,0.04882061617199059,0.06403124145250241,52.71317829457365,0.45455868464642696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,BID,20,0.31627053022384644,0.08948588371276855,0.15978026390075684,0.1050553172826767,98.1651376146789,1.834862385321101,0.3053135657135178,0.0737212598323822,0.12378156185150146,0.07569631189107895,64.22018348623854,35.77981651376147,0.27812981999972286,0.06861487030982971,0.12878072261810303,0.04667281359434128,41.284403669724774,58.71559633027523,0.24869911767104091,0.07892180979251862,0.16109678149223328,-0.004499192349612713,29.357798165137616,70.64220183486239,0.21554615786846945,0.10117481648921967,0.21313315629959106,-0.0989142432808876,26.605504587155966,73.39449541284404,0.18909098580479622,0.21815365552902222,0.313018798828125,0.024621201679110527,35.77981651376147,64.22018348623854,0.15800637883298538,0.21736860275268555,0.2565293312072754,0.025569364428520203,38.53211009174312,61.46788990825688,0.14735624588587704,0.6629128456115723,0.6629128456115723,0.16176995635032654,49.54128440366973,50.45871559633027,0.1351555898128187,0.5251673460006714,0.5251673460006714,0.12130347639322281,50.45871559633027,49.54128440366973,0.09282269986236796,0.4839903712272644,0.4839903712272644,-0.08724718540906906,44.95412844036697,55.04587155963303,0.07983208568218876,0.458251953125,0.458251953125,-0.07118743658065796,43.11926605504588,56.88073394495413,0.06380635998485719,0.5075046420097351,0.5075046420097351,-0.12640346586704254,44.03669724770643,55.96330275229357,0.052795145112802,0.5295858979225159,0.5295858979225159,-0.11321199685335159,44.03669724770643,55.96330275229357,0.043781899244469756,0.48734161257743835,0.48734161257743835,-0.13624468445777893,47.706422018348626,52.293577981651374,0.03909604125382269,0.5347207188606262,0.5347207188606262,-0.11148378252983093,48.62385321100918,51.37614678899083,0.03668766857727485,0.557992696762085,0.557992696762085,-0.10663251578807831,51.37614678899083,48.62385321100918,0.12378156185150146,0.03302441044327091,0.5621446371078491,0.5621446371078491,-0.048564761877059937,52.293577981651374,47.706422018348626,0.07170175249608825,0.10612772632714657,66.12903225806451,1.3138035794870315,0.03302441044327091,0.5621446371078491,0.5621446371078491,-0.048564761877059937,52.293577981651374,47.706422018348626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,TCB,20,0.2954424418070737,0.11535892635583878,0.2140723168849945,0.015955913811922073,51.37614678899083,48.62385321100918,0.2725476968814345,0.11937007308006287,0.24634085595607758,0.06641373783349991,59.63302752293578,40.36697247706422,0.2586844949161305,0.130645751953125,0.2728883922100067,0.03898828849196434,60.550458715596335,39.44954128440367,0.23305428948472529,0.12451957911252975,0.23811060190200806,0.20718009769916534,81.65137614678899,18.34862385321101,0.2100514077088412,0.15580183267593384,0.3133181929588318,0.44246646761894226,95.41284403669725,4.587155963302752,0.19641834365970948,0.12022631615400314,0.1612997204065323,0.1767069548368454,68.80733944954129,31.19266055045872,0.1715589838431162,0.31761112809181213,0.3533182144165039,-0.033609915524721146,38.53211009174312,61.46788990825688,0.15153335999040043,0.2928721010684967,0.2928721010684967,-0.002043835585936904,45.87155963302752,54.12844036697248,0.1361664731932037,0.22400739789009094,0.22400739789009094,0.05227425694465637,47.706422018348626,52.293577981651374,0.09967657627866548,0.31286340951919556,0.31286340951919556,0.13147032260894775,52.293577981651374,47.706422018348626,0.07199938880170093,0.31997179985046387,0.31997179985046387,0.14928081631660461,53.21100917431193,46.788990825688074,0.06259533543797101,0.5303612947463989,0.5303612947463989,0.32239198684692383,62.38532110091744,37.61467889908257,0.045151376658502745,0.36262136697769165,0.36262136697769165,0.20797649025917053,61.46788990825688,38.53211009174312,0.03606457986375865,0.4226784110069275,0.4226784110069275,0.2549183964729309,61.46788990825688,38.53211009174312,0.031474229907069134,0.4792611002922058,0.4792611002922058,0.3510042130947113,66.97247706422019,33.02752293577982,0.027790949515560093,0.4137642979621887,0.4137642979621887,0.24017056822776794,64.22018348623854,35.77981651376147,0.1612997204065323,0.020145061165642214,0.47122883796691895,0.47122883796691895,0.306366890668869,65.13761467889908,34.862385321100916,0.07552944378877559,0.09367304519110926,48.249027237354085,0.4286780794707665,0.026873299797229907,0.44634419679641724,0.44634419679641724,0.2804519534111023,63.30275229357798,36.69724770642202,0.024479838937301848,0.40125906467437744,0.40125906467437744,0.20103585720062256,61.46788990825688,38.53211009174312,0.022181305267355022,0.44881904125213623,0.44881904125213623,0.2751069962978363,64.22018348623854,35.77981651376147,0.019845262799850282,0.4310356378555298,0.4310356378555298,0.25308021903038025,63.30275229357798,36.69724770642202,0.020145061165642214,0.47122883796691895,0.47122883796691895,0.306366890668869,65.13761467889908,34.862385321100916,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,MBB,20,0.3326406505178003,0.09624786674976349,0.19312161207199097,0.12970754504203796,100.0,0.0,0.3112740621847265,0.1232421025633812,0.27901607751846313,0.2777010500431061,100.0,0.0,0.305601282593082,0.11123177409172058,0.2360607385635376,0.23637300729751587,88.07339449541286,11.926605504587156,0.28241755155956044,0.11968114972114563,0.24901489913463593,0.22779913246631622,80.73394495412845,19.26605504587156,0.2409720341948902,0.12822945415973663,0.24704834818840027,0.2953074276447296,83.4862385321101,16.51376146788991,0.21338228355435765,0.18026067316532135,0.26090943813323975,0.3468985855579376,81.65137614678899,18.34862385321101,0.1836221836069051,0.2639140486717224,0.31092894077301025,0.42360663414001465,84.40366972477065,15.59633027522936,0.14452623838887496,0.40491288900375366,0.40491288900375366,0.4094535708427429,82.56880733944955,17.431192660550458,0.11496055509675951,0.35552364587783813,0.35552364587783813,0.29749956727027893,76.14678899082568,23.853211009174313,0.09001334143035553,0.3713896870613098,0.3713896870613098,0.39572522044181824,79.81651376146789,20.18348623853211,0.0651244925444617,0.36695653200149536,0.36695653200149536,0.420240581035614,80.73394495412845,19.26605504587156,0.049499499995042294,0.33314549922943115,0.33314549922943115,0.2354990690946579,69.72477064220183,30.275229357798167,0.037925772697610015,0.3752170205116272,0.3752170205116272,0.34934401512145996,77.06422018348624,22.93577981651376,0.035689728800207376,0.36046385765075684,0.36046385765075684,0.3723769783973694,76.14678899082568,23.853211009174313,0.031319238492013776,0.3960723876953125,0.3960723876953125,0.3501257300376892,76.14678899082568,23.853211009174313,0.029232331674874705,0.34726962447166443,0.34726962447166443,0.34152233600616455,75.22935779816514,24.770642201834864,0.19312161207199097,0.029232331674874705,0.34726962447166443,0.34726962447166443,0.34152233600616455,75.22935779816514,24.770642201834864,0.06810729592598047,0.0914188640586143,60.67415730337079,1.1653709561636725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,VPB,20,0.29152848790673647,0.1104806587100029,0.1778341829776764,0.08805497735738754,100.0,0.0,0.28984744320897493,0.10528595745563507,0.18290914595127106,0.1073361411690712,95.41284403669725,4.587155963302752,0.2743895833983141,0.11200248450040817,0.20708651840686798,0.019067784771323204,38.53211009174312,61.46788990825688,0.24908876550548217,0.1602022349834442,0.37258851528167725,0.11111006885766983,46.788990825688074,53.21100917431193,0.21857605523922863,0.19138160347938538,0.4130915701389313,0.10156329721212387,50.45871559633027,49.54128440366973,0.18108920774915638,0.26236557960510254,0.4050392508506775,0.05843770131468773,47.706422018348626,52.293577981651374,0.1583422676605337,0.36590850353240967,0.4444003403186798,0.0964713841676712,51.37614678899083,48.62385321100918,0.1336936303140486,0.4202873706817627,0.4202873706817627,-0.01782267726957798,45.87155963302752,54.12844036697248,0.11019022795645629,0.4403717517852783,0.4403717517852783,0.17979605495929718,57.798165137614674,42.201834862385326,0.09196567820275531,0.4340057373046875,0.4340057373046875,-0.0015327153960242867,50.45871559633027,49.54128440366973,0.0740888655623969,0.3332776427268982,0.3332776427268982,0.10353744029998779,55.96330275229357,44.03669724770643,0.0664970122058602,0.41056835651397705,0.41056835651397705,0.10603678226470947,55.96330275229357,44.03669724770643,0.054572184433174485,0.42647117376327515,0.42647117376327515,-0.02443866990506649,42.201834862385326,57.798165137614674,0.044909691218944156,0.4070391058921814,0.4070391058921814,-0.02827298454940319,40.36697247706422,59.63302752293578,0.0400591129437089,0.4215197265148163,0.4215197265148163,-0.032289985567331314,38.53211009174312,61.46788990825688,0.037507175851394146,0.4413938522338867,0.4413938522338867,0.10421083867549896,50.45871559633027,49.54128440366973,0.1778341829776764,0.037507175851394146,0.4413938522338867,0.4413938522338867,0.10421083867549896,50.45871559633027,49.54128440366973,0.0912787882267994,0.13244352098762324,53.875968992248055,0.648616655912498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Hybrid,VCB,20,0.3006836522151442,0.038531623780727386,0.13309556245803833,0.17377939820289612,87.1559633027523,12.844036697247708,0.26793596236144795,0.07112434506416321,0.18285319209098816,-0.05040517821907997,48.62385321100918,51.37614678899083,0.23682919845861547,0.10790598392486572,0.2825576066970825,0.0039636846631765366,42.201834862385326,57.798165137614674,0.19086888498243162,0.13718271255493164,0.3310739994049072,0.2778273820877075,66.97247706422019,33.02752293577982,0.1524721215314725,0.11853427439928055,0.2718833088874817,0.36496803164482117,72.47706422018348,27.522935779816514,0.1356432580334299,0.11701619625091553,0.18797558546066284,0.11833808571100235,66.05504587155964,33.94495412844037,0.11380633580334046,0.19184349477291107,0.23199962079524994,0.24614503979682922,71.55963302752293,28.440366972477065,0.09148753456333104,0.2739827632904053,0.2739827632904053,0.25885605812072754,66.97247706422019,33.02752293577982,0.08480093058417826,0.28733763098716736,0.28733763098716736,0.30325549840927124,65.13761467889908,34.862385321100916,0.07254147299510591,0.2568465769290924,0.2568465769290924,0.1949077993631363,64.22018348623854,35.77981651376147,0.06666676448110272,0.24447079002857208,0.24447079002857208,0.2520737946033478,73.39449541284404,26.605504587155966,0.06211157400599297,0.28017860651016235,0.28017860651016235,0.23767659068107605,66.97247706422019,33.02752293577982,0.05737858709386166,0.2655009627342224,0.2655009627342224,0.26024070382118225,73.39449541284404,26.605504587155966,0.056924867169821966,0.2589256763458252,0.2589256763458252,0.314610093832016,73.39449541284404,26.605504587155966,0.052024862619445604,0.2952994704246521,0.2952994704246521,0.3448793590068817,72.47706422018348,27.522935779816514,0.05122665025512962,0.2602798044681549,0.2602798044681549,0.17998136579990387,67.88990825688074,32.11009174311927,0.13309556245803833,0.05122665025512962,0.2602798044681549,0.2602798044681549,0.17998136579990387,67.88990825688074,32.11009174311927,0.06619289985173203,0.0864922246724229,37.93103448275862,0.16176102198665782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Hybrid,CTG,20,0.3095582289730801,0.2282421886920929,0.4037061631679535,0.2849003076553345,71.55963302752293,28.440366972477065,0.27311267835252423,0.18809714913368225,0.32986193895339966,0.2414722740650177,72.47706422018348,27.522935779816514,0.23985051714322148,0.19230274856090546,0.35558488965034485,0.41861605644226074,72.47706422018348,27.522935779816514,0.21001827585346558,0.2846381664276123,0.4625534415245056,0.06588122248649597,60.550458715596335,39.44954128440367,0.18119753239785924,0.17962932586669922,0.35151106119155884,0.48656246066093445,81.65137614678899,18.34862385321101,0.16900138381649465,0.11875586211681366,0.1641700267791748,0.20497530698776245,68.80733944954129,31.19266055045872,0.1536162699408391,0.25143370032310486,0.2899264991283417,0.19258184731006622,65.13761467889908,34.862385321100916,0.12117131372146747,0.2974810004234314,0.2974810004234314,0.3449798822402954,65.13761467889908,34.862385321100916,0.11157314512221252,0.3273940086364746,0.3273940086364746,0.33968791365623474,69.72477064220183,30.275229357798167,0.09939959776752136,0.29988622665405273,0.29988622665405273,0.3752475678920746,66.97247706422019,33.02752293577982,0.0844296662903884,0.32777971029281616,0.32777971029281616,0.3587498068809509,64.22018348623854,35.77981651376147,0.07651309953892932,0.2669493556022644,0.2669493556022644,0.21719962358474731,65.13761467889908,34.862385321100916,0.06823816928355132,0.3509179949760437,0.3509179949760437,0.3138403296470642,65.13761467889908,34.862385321100916,0.05311148695866851,0.30988210439682007,0.30988210439682007,0.27912217378616333,65.13761467889908,34.862385321100916,0.04914148343617425,0.33137354254722595,0.33137354254722595,0.3726578950881958,65.13761467889908,34.862385321100916,0.05119167679153821,0.3596656024456024,0.3596656024456024,0.3690001368522644,66.05504587155964,33.94495412844037,0.1641700267791748,0.03689906691365382,0.3312379717826843,0.3312379717826843,0.34750428795814514,66.05504587155964,33.94495412844037,0.09486740149765678,0.1110453132155093,25.390625,-1.6323608856554706,0.04719768020817462,0.3202661871910095,0.3202661871910095,0.3097570538520813,65.13761467889908,34.862385321100916,0.04875069938819198,0.33760395646095276,0.33760395646095276,0.355256050825119,68.80733944954129,31.19266055045872,0.04183303312781979,0.34198611974716187,0.34198611974716187,0.3331928849220276,65.13761467889908,34.862385321100916,0.041757575893665064,0.3386755585670471,0.3386755585670471,0.3419272005558014,66.05504587155964,33.94495412844037,0.03689906691365382,0.3312379717826843,0.3312379717826843,0.34750428795814514,66.05504587155964,33.94495412844037,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Hybrid,ACB,20,0.3077622288290192,0.09180524945259094,0.18350860476493835,0.14590518176555634,70.64220183486239,29.357798165137616,0.2697431484566015,0.1129968985915184,0.22247344255447388,0.10031364858150482,53.21100917431193,46.788990825688074,0.24249817474799998,0.1505717933177948,0.2992674708366394,0.23762381076812744,67.88990825688074,32.11009174311927,0.20919722691178322,0.14098037779331207,0.2314082682132721,-0.10226265341043472,32.11009174311927,67.88990825688074,0.16162513656651273,0.13822592794895172,0.21624243259429932,0.04713981971144676,43.11926605504588,56.88073394495413,0.1522108954103554,0.1717730611562729,0.2402620017528534,0.13562414050102234,48.62385321100918,51.37614678899083,0.134318918647135,0.2272491753101349,0.2627987861633301,0.08194056898355484,42.201834862385326,57.798165137614674,0.10350116912056417,0.2653713822364807,0.2653713822364807,0.04200887680053711,41.284403669724774,58.71559633027523,0.10066673203426249,0.3126879930496216,0.3126879930496216,-0.015779878944158554,39.44954128440367,60.550458715596335,0.08688350580632687,0.2777480483055115,0.2777480483055115,0.054369598627090454,37.61467889908257,62.38532110091744,0.07627531349220697,0.2829805910587311,0.2829805910587311,0.020347455516457558,42.201834862385326,57.798165137614674,0.07135380640187684,0.3204132914543152,0.3204132914543152,0.03844589367508888,40.36697247706422,59.63302752293578,0.06637545981827904,0.25379276275634766,0.25379276275634766,-0.05566609278321266,39.44954128440367,60.550458715596335,0.06089986471787972,0.2824804484844208,0.2824804484844208,-0.028578097000718117,42.201834862385326,57.798165137614674,0.0533155762754819,0.29549485445022583,0.29549485445022583,0.028534412384033203,44.03669724770643,55.96330275229357,0.05283316767171902,0.2662978768348694,0.2662978768348694,-0.007968517951667309,41.284403669724774,58.71559633027523,0.18350860476493835,0.05283316767171902,0.2662978768348694,0.2662978768348694,-0.007968517951667309,41.284403669724774,58.71559633027523,0.04893967610325667,0.06516708616226892,48.837209302325576,0.4884339347200206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
