cell,DA%,Sharpe,IC,RMSE,n_seeds
none(lstm),44.937369519832984,0.2075667306544168,0.012941062338434011,0.019844397929430692,1
late(lstm),45.14613778705637,0.15113184818786168,0.012926092384067075,0.019832149127294255,1
cmtf.anchored,46.764091858037574,0.4033560542765918,0.036082925051496,0.01993397024619475,1
cmtf.anchored.PLACEBO,46.60751565762004,0.4852765378988324,0.025393591669678525,0.019897215039147566,1
cmtf.encoder_residual,45.407098121085596,0.43389091923188855,0.012090124891968618,0.01985407092213924,1
cmtf.encoder_residual.PLACEBO,45.668058455114824,0.4389554289575869,0.023733119421314324,0.019822315001892937,1
