model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.029371869296465142,0.0012658775111216202,0.04682186771205463,0.0007170026424209174,50.86100861008611,3.545765142779723,0.8126923826255155,0.39269510750056685,0.1373943614510384,0.04849800098384952,0.5650978887378587,0.03688635135107576,0.5058498655620958,0.038712922542485755,0.5145473752247273,0.046295334643048344,55.0,0.0,51.29,0.0,-0.4266666666666666,3.5454524864018886,False,3
lstm,early,matched,scalars,,True,True,True,5,True,True,True,128,64,128,2,0.2,0.1,0.3,0.33,100,60,15,12,1.0,0.001,0.02883251773148991,4.6360610595598405e-05,0.04649816195452627,0.00018955337761560599,49.138991389913905,3.6076283827951943,0.506056437866425,0.43512186919725104,0.17312466570541374,0.03198023329399573,0.6347462936291155,0.1194412686985414,0.48782337766150713,0.029059067172673873,0.381497100324808,0.06669622859118243,55.0,0.0,51.29,0.0,-2.15,3.6083375673570233,False,3
lstm,late,matched,scalars,,True,True,True,5,True,True,True,128,64,128,2,0.2,0.1,0.3,0.33,100,60,15,12,1.0,0.001,0.028778761982502492,7.748550810337068e-05,0.046581498146600814,5.938717494966559e-05,52.952029520295206,4.56805107126935,0.6960757805063715,0.8601979182879567,0.20959093523033812,0.06306416190594578,0.5762701014409313,0.06649976733502953,0.5223230506503888,0.051456020976503626,0.4720429602341311,0.13808547987509645,55.0,0.0,51.29,0.0,1.6633333333333333,4.56806669536833,False,3
lstm,none,none,none,,True,True,True,5,True,True,True,128,64,128,2,0.2,0.1,0.3,0.33,100,60,15,12,1.0,0.001,0.028881307505173922,5.960870485730359e-05,0.04667899574986619,5.972819928101395e-05,49.2619926199262,3.048470782630685,0.20031465747514102,0.26507667927567596,0.08997670105976217,0.11716874357235751,0.4489136199437375,0.17149658607644286,0.48924496766223385,0.016957464279230054,0.3729629261277292,0.06654813450903131,55.0,0.0,51.29,0.0,-2.026666666666667,3.04641319149805,False,3
