model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,output_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,False,False,True,3,True,True,True,True,True,True,True,True,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.02915885409468802,0.0002358251224274879,0.04677066357911652,8.109498157973437e-05,47.53997539975399,1.2004441141416429,0.20367351257526237,0.1043207286549934,0.07185525813091377,0.016784593260484176,0.5367948873039171,0.0433484028603551,0.4655275779376498,0.012056995291522151,0.3924965913482887,0.039913481931610054,55.0,0.0,51.29,0.0,-3.75,1.2011244731500565,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,False,True,True,3,True,True,True,True,True,True,True,True,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.029590599779431608,0.0010573388131853922,0.04764922230279514,0.0014738119960030016,51.1070110701107,0.6652308626317356,0.2727151050387632,0.2334289402914236,0.09982628609275669,0.04044186427753053,0.5526103703388219,0.03467034879649911,0.5043692318872175,0.008008299626215808,0.46277915428179783,0.10760278677910458,55.0,0.0,51.29,0.0,-0.18333333333333335,0.6642539674953649,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,True,True,True,True,True,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.03150584638998751,0.0027335606254561043,0.04977530956102358,0.002886054728555731,50.67650676506765,2.4079670295758797,0.2593272294009947,0.28067668671432644,0.0918384524833961,0.027370387645737154,0.5850939048484726,0.05914280771067461,0.5015714700966499,0.01893898386405762,0.48807996524197,0.012403301304436041,55.0,0.0,51.29,0.0,-0.6133333333333333,2.407702916336094,False,3
