model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,encoder_lr_scale,sign_penalty_weight,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.005,0.0,0.33,80,80,12,10,0.2,0.001,0.02883374215239741,7.716154049191566e-05,0.046522685848216803,2.8163887246196754e-05,49.44649446494466,0.9762919967028015,0.24503743924717444,0.3177465085322241,0.16324722465378036,0.09409264822305133,0.5300281711078653,0.01690869507328147,0.48490752852263647,0.009190476818061663,0.39414785224006343,0.09665725250303715,55.0,0.0,51.29,0.0,-1.8433333333333335,0.9732591295915664,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.005,0.0,0.33,80,80,12,10,0.3,0.001,0.029371869296465142,0.0012658775111216202,0.04682186771205463,0.0007170026424209174,50.86100861008611,3.545765142779723,0.8126923826255155,0.39269510750056685,0.1373943614510384,0.04849800098384952,0.5650978887378587,0.03688635135107576,0.5058498655620958,0.038712922542485755,0.5145473752247273,0.046295334643048344,55.0,0.0,51.29,0.0,-0.4266666666666666,3.5454524864018886,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.005,0.0,0.33,80,80,12,10,0.4,0.001,0.02957458912339606,0.0013018308672284474,0.04689381188620454,0.0008914090838471113,48.8929889298893,2.127779076507528,0.31889317653203614,0.363205566183906,0.14599105192918235,0.0444275962182507,0.5303810699053926,0.012814693344633733,0.4849801976600538,0.013397470744979654,0.44813353259818406,0.09360817482084259,55.0,0.0,51.29,0.0,-2.4,2.1287555049840736,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.005,0.05,0.33,80,80,12,10,0.2,0.001,0.02905646316248028,0.00013207778282765969,0.046745727651095935,9.349536256169123e-05,48.58548585485855,1.9380013845742599,0.19605402396290308,0.22268702904553547,0.14755657106858125,0.14212425476767535,0.5204975715192578,0.011541200563477077,0.4789940774653005,0.01200541983327777,0.38642562438817657,0.08148913016496206,55.0,0.0,51.29,0.0,-2.7066666666666666,1.9357771910355113,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.005,0.05,0.33,80,80,12,10,0.3,0.001,0.029962394858310218,0.0018802495134378286,0.047237086363128344,0.001047078404904921,49.20049200492005,2.0982438018735543,0.33480111551568487,0.46061846637762904,0.15447885977467982,0.07652630886553374,0.5329034164576955,0.025884446369624007,0.48521183053557154,0.017586194589500222,0.44363945982630515,0.09237953140505797,55.0,0.0,51.29,0.0,-2.09,2.0998095151703637,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.005,0.05,0.33,80,80,12,10,0.4,0.001,0.028980592999342664,0.0002495208827891692,0.046827950807709205,0.00033092600200154536,49.6309963099631,0.7380073800738005,0.16721800129841813,0.17339400884330503,0.16413910738544982,0.06295476543955733,0.55260811738018,0.0344262044401021,0.4878506285880387,0.008756015017298726,0.4150602552589115,0.09504403121327341,55.0,0.0,51.29,0.0,-1.6600000000000001,0.7399999999999999,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.005,0.1,0.33,80,80,12,10,0.2,0.001,0.030059391641436787,0.0017457953779574603,0.04784039201192192,0.0014484056262215061,49.384993849938496,1.6536690848399487,0.12225726890857307,0.1058765030335451,0.13683803981714648,0.06979004743629398,0.5306742498415805,0.014522840155095286,0.49111165612964175,0.007906413056796378,0.44943771338265254,0.09491456065607451,55.0,0.0,51.29,0.0,-1.906666666666667,1.653672680228265,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.005,0.1,0.33,80,80,12,10,0.3,0.001,0.029636533402059923,0.0016651000683721533,0.04690594472881431,0.0010540849937386925,50.061500615006146,2.504970707800286,0.8352946573338847,0.5580776562904173,0.1961446199184463,0.07670930657180589,0.5862161218820282,0.04273019345619116,0.4951311677930383,0.027288378767481032,0.47852455824503304,0.08645925692546462,55.0,0.0,51.29,0.0,-1.2300000000000002,2.5046157389907138,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.005,0.1,0.33,80,80,12,10,0.4,0.001,0.03043921428405537,0.0024451967468540627,0.04770273542603984,0.0016086297236835908,49.753997539975394,1.8202519787144824,0.507026523580533,0.42382940478662784,0.15745456149336504,0.09279256820676135,0.5718200311548364,0.04367046210517438,0.49127516168883073,0.016097216721320997,0.4824857055889404,0.02259713372552781,55.0,0.0,51.29,0.0,-1.5366666666666664,1.8251666590570115,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.01,0.0,0.33,80,80,12,10,0.2,0.001,0.02883374215239741,7.716154049191566e-05,0.046522685848216803,2.8163887246196754e-05,49.44649446494466,0.9762919967028015,0.24503743924717444,0.3177465085322241,0.16324722465378036,0.09409264822305133,0.5300281711078653,0.01690869507328147,0.48490752852263647,0.009190476818061663,0.39414785224006343,0.09665725250303715,55.0,0.0,51.29,0.0,-1.8433333333333335,0.9732591295915664,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.01,0.0,0.33,80,80,12,10,0.3,0.001,0.029732651995102024,0.001887385816426936,0.047218339042958156,0.0013998940031272997,50.9840098400984,3.34825524940128,0.6897660850963007,0.5142091861980356,0.12508507817267903,0.06410460793834011,0.5631084294635728,0.04015118797694726,0.5080344815057045,0.03534385902850204,0.5215938016421388,0.03701694674638492,55.0,0.0,51.29,0.0,-0.3033333333333334,3.34737708263251,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.01,0.0,0.33,80,80,12,10,0.4,0.001,0.02958453329590371,0.0013190097466486818,0.04691909644039575,0.0009324728174985147,48.83148831488315,2.201172222407536,0.2987542252708876,0.3736603883690149,0.14536700086841414,0.045202506583040966,0.5307272617322197,0.013040692567120803,0.48434888452874064,0.014177039716684148,0.4481467913437407,0.09361835256158577,55.0,0.0,51.29,0.0,-2.4600000000000004,2.2002727103702395,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.01,0.05,0.33,80,80,12,10,0.2,0.001,0.02905646316248028,0.00013207778282765969,0.046745727651095935,9.349536256169123e-05,48.58548585485855,1.9380013845742599,0.19605402396290308,0.22268702904553547,0.14755657106858125,0.14212425476767535,0.5204975715192578,0.011541200563477077,0.4789940774653005,0.01200541983327777,0.38642562438817657,0.08148913016496206,55.0,0.0,51.29,0.0,-2.7066666666666666,1.9357771910355113,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.01,0.05,0.33,80,80,12,10,0.3,0.001,0.030185593769906257,0.002266760211811877,0.047419641814953194,0.0013629699692122592,47.72447724477245,2.8662189908317437,0.20702025541863847,0.24168972772224787,0.13003905642652833,0.08059965066827156,0.509617430553154,0.015371347742693723,0.4699331443935761,0.024360599673242053,0.4221189159499559,0.07402313273097136,55.0,0.0,51.29,0.0,-3.5666666666666664,2.864303289341639,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.01,0.05,0.33,80,80,12,10,0.4,0.001,0.028980592999342664,0.0002495208827891692,0.046827950807709205,0.00033092600200154536,49.6309963099631,0.7380073800738005,0.16721800129841813,0.17339400884330503,0.16413910738544982,0.06295476543955733,0.55260811738018,0.0344262044401021,0.4878506285880387,0.008756015017298726,0.4150602552589115,0.09504403121327341,55.0,0.0,51.29,0.0,-1.6600000000000001,0.7399999999999999,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.01,0.1,0.33,80,80,12,10,0.2,0.001,0.02995683971024742,0.0015682279528761976,0.04799109330003722,0.001709118053108119,48.58548585485855,2.591796741169188,-0.054810092977611836,0.21601460780341195,0.12470766497260628,0.08638027475459169,0.5200806476016666,0.012066096678600549,0.4814421190320471,0.020483141298495485,0.4427381501418875,0.08984484105709331,55.0,0.0,51.29,0.0,-2.703333333333333,2.588828563913287,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.01,0.1,0.33,80,80,12,10,0.3,0.001,0.02920542968751011,0.0009184814816398547,0.04664281406077305,0.0006032179364645028,50.18450184501845,2.412674691996686,0.6745711156898867,0.7081286093061161,0.19186824453702025,0.0815167137261808,0.566416336685637,0.07490919573368096,0.493246312041276,0.028494154833556908,0.4326680125291252,0.09734349140787048,55.0,0.0,51.29,0.0,-1.1066666666666667,2.4123087143509085,False,3
