model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,degenerate
lstm,late,matched,none,True,True,5,True,True,True,0.028864692896604538,0.04668887332081795,49.26801801801802,-0.3194349295193471,0.07352511253725766,0.8333333333333334,0.017006802721088437,0.07781905460771725,55.0,51.32,-2.0533333333333332,False
lstm,late,matched,scalars,True,True,5,True,True,True,0.028861409053206444,0.04665393133958181,50.39414414414415,-0.09656631552537952,0.06307444926303712,0.5042735042735043,0.20068027210884354,0.1916480731854067,55.0,51.32,-0.93,False
lstm,late,matched,weighted_emb,True,True,5,True,True,True,0.028861756746967632,0.04651515682538351,51.858108108108105,0.5380849502454954,0.1583050096453387,0.5,0.013605442176870748,0.11105059899022196,55.0,51.32,0.54,False
rf,late,matched,none,True,True,5,True,True,True,0.0287907129774491,0.046955573062102,56.86936936936937,0.4976689260237286,0.11576657280947256,0.6089385474860335,0.3707482993197279,0.4392534145441122,55.0,51.32,5.55,False
rf,late,matched,scalars,True,True,5,True,True,True,0.028876502066850662,0.046264298260211945,53.88513513513514,0.7754007239414752,0.12265678488804753,0.5333333333333333,0.40816326530612246,0.46509368198495843,55.0,51.32,2.566666666666667,False
rf,late,matched,weighted_emb,True,True,5,True,True,True,0.02884848229587078,0.04602970307072004,54.166666666666664,1.1736956233050255,0.13482610732984399,0.5560747663551402,0.40476190476190477,0.45402459393241035,55.0,51.32,2.85,False
cnn_lstm,late,matched,none,True,True,5,True,True,True,0.02894628420472145,0.04675492892662684,49.943693693693696,0.12564458516751278,-0.03859274842969924,0.5133079847908745,0.45918367346938777,0.4772263742618752,55.0,51.32,-1.3766666666666667,False
cnn_lstm,late,matched,scalars,True,True,5,True,True,True,0.02886829525232315,0.0466826893389225,51.63288288288288,0.14506413531133483,0.04714935673830609,0.5111731843575419,0.6224489795918368,0.3884355521145682,55.0,51.32,0.31333333333333324,False
cnn_lstm,late,matched,weighted_emb,True,True,5,True,True,True,0.02886337600648403,0.04647682855526606,53.09684684684684,1.0944166594779008,0.08528465470095388,0.5,0.564625850340136,0.44893428440140193,55.0,51.32,1.7766666666666666,False
