model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,output_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,False,False,False,False,False,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.012496264871881156,0.00034059213612626143,0.0192977112399974,0.00031935503593461705,45.75645756457565,3.2432464633296925,0.2250487573031327,0.639279203715485,0.010252466920615044,0.047578911231080344,0.5084188485877466,0.019178204224937323,0.4563918103860935,0.011809165861558961,0.43569279342781764,0.05798049470187143,475.0,0.0,53.32,0.0,-7.563333333333333,3.2397736546452336,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,False,False,False,True,True,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.01242797925080074,0.00019713155588116875,0.019221231369723597,0.00017533980025780717,45.32595325953259,2.8662189908317393,-0.03746431018634013,0.10831278310575433,-0.0018984853784622553,0.02944218024447671,0.5086279633311982,0.006463347122639204,0.45924796330994616,0.005628964519747976,0.4167389413588323,0.03017343862947338,475.0,0.0,53.32,0.0,-7.996666666666666,2.8643032893416387,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,True,True,True,True,False,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.012345566359887475,9.397796066860087e-05,0.019148474847122888,9.075931182366285e-05,48.83148831488315,0.46431946096376053,0.14214209881697895,0.712518378893489,0.027545856335403466,0.014420426649227335,0.5088011689862005,0.018173088132594568,0.46709155645517914,0.005205521515382182,0.42129173604154224,0.0467456877123801,475.0,0.0,53.32,0.0,-4.489999999999999,0.46292547996410877,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,True,True,True,True,True,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.012292601778911269,1.4270324264910605e-05,0.019101607741978208,4.5956772187125845e-05,45.87945879458795,4.276836076436336,0.27490052531065784,0.4559210416622727,0.017045058467552568,0.03567941800634285,0.5071520329570908,0.031588011472594484,0.463207370834872,0.022763906212746165,0.420842230165346,0.10223315380104696,475.0,0.0,53.32,0.0,-7.44,4.276879703709236,False,3
