model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,output_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,fusion_style,market_query_mode,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,False,True,True,3,True,True,True,False,False,False,False,False,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,learned,last,0.012510034303445825,0.0003298962696838884,0.01928383505999425,0.0003033862677947923,46.5559655596556,3.663805906176254,0.3365132658103714,0.5322800624885251,0.020101051392702438,0.018380746807213848,0.5185534255674654,0.014590818421822289,0.46397098713933377,0.014524914387294561,0.4384314823139952,0.053715306302074856,475.0,0.0,53.32,0.0,-6.760000000000001,3.66329087024222,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,False,False,False,False,False,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,learned,last,0.012352183015914614,0.00011058139104312193,0.019163693395787655,6.237118688431118e-05,46.43296432964329,1.9554874656315617,0.012328356043877201,0.5205871435675588,0.0011585373591749745,0.022275577636315,0.5056582816936137,0.009287446488658428,0.45879663188223446,0.009946467418416956,0.46874384873789476,0.0030312398137909142,475.0,0.0,53.32,0.0,-6.886666666666667,1.9527501973712185,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,True,True,True,True,True,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,handcrafted,multi,0.012292601778911269,1.4270324264910605e-05,0.019101607741978208,4.5956772187125845e-05,45.87945879458795,4.276836076436336,0.27490052531065784,0.4559210416622727,0.017045058467552568,0.03567941800634285,0.5071520329570908,0.031588011472594484,0.463207370834872,0.022763906212746165,0.420842230165346,0.10223315380104696,475.0,0.0,53.32,0.0,-7.44,4.276879703709236,False,3
