model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,cnn_lstm,True,True,True,5,True,True,True,0.012264441029676302,4.518052216775599e-05,0.019097419674152658,6.199229901776052e-05,46.98646986469865,2.6694384273321923,0.32396100739065387,0.8124117607671152,0.023230770096621264,0.07288334114374644,0.549034406058893,0.08102826354975838,0.45299086851666964,0.026280040429890097,0.43040102359504506,0.06766127581004432,475.0,0.0,53.32,0.0,-6.333333333333333,2.6708862449257045,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,5,True,True,True,0.012294855423715638,6.826417061277172e-05,0.019192633745615528,6.616961190503467e-05,48.2779827798278,1.0810821544432303,-0.4069035823624317,0.5742118031107795,0.006992097690334029,0.06066946307075487,0.514658109611143,0.02275938629839859,0.4620653655556619,0.009218422929897038,0.4299683534601741,0.015726032193549424,475.0,0.0,53.32,0.0,-5.04,1.0811567878897117,False,3
cnn_lstm,early,matched,scalars,,True,True,True,5,True,True,True,0.012228183092269002,8.662505608649284e-06,0.019083042708385515,1.3853664819172735e-05,48.46248462484624,2.162164308886465,0.5019377176243286,0.2421652581602755,0.07550605791013344,0.022840662017137938,0.5406559046071675,0.024484882118069092,0.48143842517244045,0.012461084015020427,0.5000977083595678,0.006377226927892081,475.0,0.0,53.32,0.0,-4.86,2.1623135757794243,False,3
cnn_lstm,late,matched,scalars,,True,True,True,5,True,True,True,0.012290114739922671,2.9673482947792697e-05,0.01912964716469905,4.848344992163408e-05,44.772447724477246,4.744723621644745,-0.036889884895164836,1.4964671272693124,-0.032412643655824185,0.09259979518897404,0.4977813025914292,0.05481080852739745,0.45348323007417335,0.05203066501544122,0.44615046722127644,0.06667756102682537,475.0,0.0,53.32,0.0,-8.549999999999999,4.742499341064794,False,3
cnn_lstm,none,none,none,,True,True,True,5,True,True,True,0.012225696780006864,2.5295915845852858e-05,0.019079703946120397,2.987843763480789e-05,51.16851168511685,1.5026804087171726,0.5668336924273609,0.8181104355324599,0.07799759794917428,0.05915345376631762,0.5458742748327923,0.029790839836889887,0.4889241444078212,0.018517798491359094,0.42847121694172036,0.08917331760898531,475.0,0.0,53.32,0.0,-2.15,1.5003999466808842,False,3
lstm,early,matched,scalars,,True,True,True,5,True,True,True,0.012212452797967559,2.8836793567531264e-05,0.01907256863444027,2.587968955336137e-05,49.2619926199262,2.079230197340345,0.5768190502429466,0.3482055031273813,0.10339170660132346,0.022500560740479535,0.5587973639386418,0.013201344929053803,0.48778669803192143,0.010896611260984972,0.47096556375100324,0.05486164607169827,475.0,0.0,53.32,0.0,-4.06,2.080408613710297,False,3
lstm,late,matched,scalars,,True,True,True,5,True,True,True,0.012263010317085094,3.822429968878181e-05,0.01912021196378465,5.406171102104515e-05,48.46248462484625,2.4569476451953514,-0.2537223818716936,0.5234716624048599,0.02634299785468822,0.10635071898021135,0.5285251878679889,0.06517230220564185,0.45764094989309373,0.02063834259531984,0.37234052612366586,0.020239890855648823,475.0,0.0,53.32,0.0,-4.86,2.457824241071766,False,3
lstm,none,none,none,,True,True,True,5,True,True,True,0.012287330957619835,7.157902855759103e-05,0.019154135765783845,8.212021662369085e-05,48.339483394833955,0.63913313932431,-0.3617139192728304,0.402163635802616,0.016355611040867093,0.0429983042148462,0.5075053836532687,0.03595678423989008,0.4600981987773021,0.008441876500126297,0.4098886755025335,0.026882197801406185,475.0,0.0,53.32,0.0,-4.9799999999999995,0.6408587988004841,False,3
rf,late,matched,scalars,,True,True,True,5,True,True,True,0.012363237398678159,3.071288308147374e-05,0.019156370133375306,7.013481232945547e-05,46.678966789667896,2.899674104336105,-0.10725561109433422,0.2341660919489892,0.021066462822669565,0.046285118047873094,0.4939275469753213,0.02183724721758167,0.4499432416537878,0.022445275940523663,0.4347959730058642,0.005453559924517696,475.0,0.0,53.32,0.0,-6.6433333333333335,2.899867813079302,False,3
rf,none,none,none,,True,True,True,5,True,True,True,0.01264413005409372,0.00012109065340154964,0.019713804210920987,0.00012107378358070226,50.4920049200492,1.29589837058459,0.6030557880216997,0.48994050003471695,0.10222948599809768,0.00936376562565158,0.5476034057401131,0.008142198548583463,0.48873494992044714,0.013776842122495319,0.48757656097101537,0.018833296171566486,475.0,0.0,53.32,0.0,-2.8266666666666667,1.299397296185171,False,3
