model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,degenerate,DA%_std,Sharpe_std,IC_std,RMSE_std,MAE_std,F1_std,DA_skill%_std,base_rate_DA%_std,ESS_std
lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.012306514816979567,0.019140735268592834,53.78652355396542,0.11106624308284829,0.02352886847887536,0.5028571428571429,0.3333333333333333,0.41694540368029065,475.0,56.85999999999999,-3.0700000000000003,False,1.8790639542741494,0.41948717295716487,0.027535923859835106,1.6071057891066733e-05,2.586372515284517e-05,0.01652723613765431,1.880717948018788,8.702335715267317e-15,0.0
lstm,hybrid,matched,scalars,False,True,5,True,True,True,0.012308042186001936,0.01916029614706834,53.13059033989267,0.13227974170826504,0.02118187394866246,0.45714285714285713,0.06060606060606061,0.3041389007202331,475.0,56.85999999999999,-3.73,False,0.17889087656529767,0.026974940619816864,0.030913360102273014,4.1500690163653975e-05,5.391456707716241e-05,0.17114535335934797,0.18000000000000016,8.702335715267317e-15,0.0
lstm,hybrid,matched,scalars,True,False,5,True,True,True,0.012315817177295685,0.019144058227539062,52.713178294573645,0.008461437076926925,0.026528329618135654,0.42,0.07954545454545454,0.3239234579998911,475.0,56.85999999999999,-4.1433333333333335,False,0.8454052998662983,0.5425145753829136,0.02861626846192934,3.977060981764925e-05,6.958866451113981e-05,0.16542621744182118,0.8450049309520823,8.702335715267317e-15,0.0
lstm,hybrid,matched,scalars,True,True,3,True,True,True,0.012306514816979567,0.019140735268592834,53.78652355396542,0.11106624308284829,0.02352886847887536,0.5028571428571429,0.3333333333333333,0.41694540368029065,475.0,56.85999999999999,-3.0700000000000003,False,1.8790639542741494,0.41948717295716487,0.027535923859835106,1.6071057891066733e-05,2.586372515284517e-05,0.01652723613765431,1.880717948018788,8.702335715267317e-15,0.0
lstm,hybrid,matched,scalars,True,True,10,True,True,True,0.012306514816979567,0.019140735268592834,53.78652355396542,0.11106624308284829,0.02352886847887536,0.5028571428571429,0.3333333333333333,0.41694540368029065,475.0,56.85999999999999,-3.0700000000000003,False,1.8790639542741494,0.41948717295716487,0.027535923859835106,1.6071057891066733e-05,2.586372515284517e-05,0.01652723613765431,1.880717948018788,8.702335715267317e-15,0.0
lstm,hybrid,matched,scalars,False,False,5,True,True,True,0.012301403718690077,0.019169469674428303,52.713178294573645,-0.035595170587898496,0.03166386283326814,0.3888888888888889,0.026515151515151516,0.27230330463273406,475.0,56.85999999999999,-4.146666666666667,False,0.45019883334948074,0.253040236670396,0.02242487632197652,2.959758417966923e-05,3.481500077152105e-05,0.19679004468908276,0.4476978147515726,8.702335715267317e-15,0.0
lstm,hybrid,matched,scalars,False,True,5,False,True,True,0.012342561967670918,0.01913144749899705,48.539057841383425,-0.0243509092443364,0.011522583881556614,0.43028846153846156,0.678030303030303,0.4995477477221899,475.0,56.85999999999999,-8.32,False,2.3822283071482606,0.29247053899765046,0.03932359746044922,3.7377793185510245e-05,4.5595887827394474e-05,0.05491789796046086,2.3797268750846183,8.702335715267317e-15,0.0
lstm,hybrid,matched,scalars,True,True,5,False,True,True,0.012341235453883806,0.01914214963714282,50.68574836016697,0.3290737972155036,0.016566402574210732,0.4334677419354839,0.8143939393939394,0.42733589591957416,475.0,56.85999999999999,-6.176666666666667,False,2.1191837380938425,0.6916611850095582,0.03043700114429983,3.991791020421414e-05,6.193292824630399e-05,0.17116850480670545,2.1207860178088063,8.702335715267317e-15,0.0
lstm,hybrid,matched,scalars,True,True,5,True,False,True,0.012369683322807154,0.019203518827756245,51.16279069767442,-0.14263535279263237,0.01778535560949869,0.4323308270676692,0.4356060606060606,0.4116306659155031,475.0,56.85999999999999,-5.696666666666666,False,1.9920444947513525,0.701381986079063,0.021452239709680944,5.604916454225608e-05,4.6696887554891685e-05,0.063077309256115,1.989128787518127,8.702335715267317e-15,0.0
lstm,hybrid,matched,scalars,True,True,5,True,True,False,0.012306514816979567,0.019140735268592834,53.78652355396542,0.11106624308284829,0.02352886847887536,0.5028571428571429,0.3333333333333333,0.41694540368029065,475.0,56.85999999999999,-3.0700000000000003,False,1.8790639542741494,0.41948717295716487,0.027535923859835106,1.6071057891066733e-05,2.586372515284517e-05,0.01652723613765431,1.880717948018788,8.702335715267317e-15,0.0
