model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,output_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,fusion_style,market_query_mode,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,False,False,False,False,False,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,learned,multi,0.012496264871881156,0.00034059213612626143,0.0192977112399974,0.00031935503593461705,45.75645756457565,3.2432464633296925,0.2250487573031327,0.639279203715485,0.010252466920615044,0.047578911231080344,0.5084188485877466,0.019178204224937323,0.4563918103860935,0.011809165861558961,0.43569279342781764,0.05798049470187143,475.0,0.0,53.32,0.0,-7.563333333333333,3.2397736546452336,False,3
lstm,early,matched,scalars,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,100,60,15,12,1.0,0.001,handcrafted,multi,0.012238579955936857,2.1305078249623473e-05,0.019071114836355832,9.540862639007574e-06,46.74046740467404,2.1542779690205416,0.2486006099678779,0.48150460027411524,0.06703061682782813,0.029733753709126058,0.5254631502154733,0.030598910129004803,0.4611057164088607,0.00954881289032529,0.44964511136795854,0.010110082675906,475.0,0.0,53.32,0.0,-6.580000000000001,2.1573826735190025,False,3
lstm,late,matched,scalars,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,100,60,15,12,1.0,0.001,handcrafted,multi,0.0123245294694357,6.1907434125409e-05,0.019150331893655673,6.924526629246749e-05,43.911439114391136,2.267196628679796,-0.34375993774034175,0.8351958883437508,-0.005695403766987943,0.06616971090924297,0.49381196373207054,0.025746347559970646,0.445819713609694,0.0281856742976022,0.4566524739242841,0.012752852915164587,475.0,0.0,53.32,0.0,-9.41,2.264773719381254,False,3
lstm,none,none,none,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,100,60,15,12,1.0,0.001,handcrafted,multi,0.01226612951361334,3.355609504135475e-05,0.019114117542453957,4.101557249989546e-05,47.72447724477245,1.5907155173896121,0.034271067214721694,0.5237712622950423,0.023346521714161055,0.0806037129457132,0.5116799426817354,0.024112166170382737,0.45802389777115216,0.008329965016625153,0.42556274120203463,0.04177280776551481,475.0,0.0,53.32,0.0,-5.593333333333334,1.592304409757548,False,3
