model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cnn_lstm,early,matched,scalars,True,True,5,True,True,True,0.012273963700714303,2.1158500249096612e-05,0.01911734021904028,2.147522702798909e-05,46.1869618696187,1.2558780969656886,0.11790166134631057,0.5768325565267131,-0.02779007636333144,0.04805915996026913,0.45984223332916757,0.07733571913794852,0.44344224553341444,0.013257174227107604,0.4089316077150016,0.06765106818461607,475.0,0.0,53.32,0.0,-7.133333333333333,1.2556007858126454,False,3
cnn_lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.012239937437581625,2.40544442277848e-05,0.019102775628094384,1.3653680815030897e-05,49.384993849938496,2.70113053579308,0.028402598299100485,0.713906584524391,0.03974897628777855,0.052845084183420335,0.5319874159073403,0.036308674306619784,0.46785061385633075,0.02073081378926963,0.3917335214963223,0.0399292122511353,475.0,0.0,53.32,0.0,-3.9333333333333336,2.7061473229174595,False,3
cnn_lstm,late,matched,scalars,True,True,5,True,True,True,0.01224139909686107,2.0204096598761662e-05,0.019082696400124322,1.8107792141710568e-05,47.4169741697417,2.3044273056820668,0.6065068797698515,0.6606726593189447,0.052879942074430863,0.05785218723059878,0.5152394554612298,0.0289297004333422,0.4617052121941545,0.021858022650782984,0.4711501771387365,0.022834791544806096,475.0,0.0,53.32,0.0,-5.906666666666666,2.3050451911694343,False,3
cnn_lstm,none,none,none,True,True,5,True,True,True,0.01224864915581648,2.689836965146491e-05,0.01910046988680289,2.196410044492761e-05,46.678966789667896,2.7920195480482577,0.019846569952268373,0.41149735653674363,0.017779525261095993,0.0818368673369847,0.5026875424949114,0.028482950503775046,0.4533077122967299,0.014075090517258788,0.4378483956911801,0.0158441314943982,475.0,0.0,53.32,0.0,-6.6433333333333335,2.791958691193932,False,3
cnn_lstm_hybrid,hybrid,matched,scalars,True,True,5,True,True,True,0.01225551225486881,1.9928707624008522e-05,0.01912056495501761,2.1632591660054983e-05,48.277982779827795,1.75357655957974,-0.13686130806300245,0.29695229915841237,-0.013293438744011914,0.049119658690237634,0.3842190247419995,0.11003515759921673,0.45517230375060974,0.01294441590353309,0.36237547590088187,0.03753573741516757,475.0,0.0,53.32,0.0,-5.043333333333334,1.7558568658445177,False,3
cnn_lstm_hybrid,late,matched,scalars,True,True,5,True,True,True,0.012295435194653906,5.424610549675789e-05,0.019118999814469854,2.0302199381615245e-05,44.28044280442805,2.7859167657825634,-0.4537423358208368,0.8737762418445276,-0.002919389857454389,0.08489201695008951,0.4927177044765736,0.027938442286989596,0.4496081622604866,0.02681482480052263,0.45464409587406207,0.03084085351561559,475.0,0.0,53.32,0.0,-9.040000000000001,2.7835049847269895,False,3
cnn_lstm_hybrid,none,none,none,True,True,5,True,True,True,0.012256359762283996,8.328765343059098e-05,0.019145562048505666,8.975905743654541e-05,48.46248462484625,2.3723618108223725,-0.10463893947995843,1.0816788858506854,0.062106450965567016,0.07407874552580605,0.5367683977114566,0.036450125483250814,0.46921144649443125,0.02261736395515781,0.46554007601396696,0.03517994592197173,475.0,0.0,53.32,0.0,-4.8566666666666665,2.369437345306546,False,3
lstm,early,matched,scalars,True,True,5,True,True,True,0.012363055986024584,0.00012164833953130071,0.01927398821351556,0.00016399634331625947,48.954489544895445,3.607628382795197,-0.36883882528108947,0.4090670144118234,-0.006401565440965578,0.04691678648483408,0.4987087532150667,0.03740752497461295,0.4643060665326349,0.028214650116669897,0.3845403214364131,0.047558478125811,475.0,0.0,53.32,0.0,-4.366666666666666,3.6069701043026865,False,3
lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.012267992903187636,4.87418859778123e-05,0.01915615529426886,5.871287468551053e-05,47.72447724477245,2.3362140114664953,-0.43733697095171437,0.5661850291708092,0.028748330781193977,0.06049173466136571,0.47837848247547377,0.03954291303421529,0.4520334988215235,0.019674597704099912,0.38450159955619295,0.008821845877475112,475.0,0.0,53.32,0.0,-5.596666666666667,2.3393660109810375,False,3
lstm,late,matched,scalars,True,True,5,True,True,True,0.01231044973013336,1.6383856102178818e-05,0.01920755183900657,2.4033495927582303e-05,47.97047970479705,0.3690036900369007,-0.3243731700512263,0.25428640332897884,-0.00012583253431391363,0.04176801496221819,0.5034553596902966,0.021064299698806136,0.4560635693477577,0.0030906641084611475,0.4047713308980807,0.008597087602124718,475.0,0.0,53.32,0.0,-5.3500000000000005,0.3700000000000001,False,3
