model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,degenerate,DA%_std,Sharpe_std,IC_std,RMSE_std,MAE_std,F1_std,DA_skill%_std,base_rate_DA%_std,ESS_std
lstm,late,matched,none,True,True,5,True,True,True,0.012518303158382574,0.019377805292606354,51.75909361955874,-0.3185956896847255,0.025294250843653276,0.40625,0.09848484848484848,0.2948209531935455,475.0,56.85999999999999,-5.1,False,1.9786118095452654,0.8160373671642793,0.0716614300070113,0.0002532760630549543,0.00026322893098430224,0.14221684191958,1.9809341230843596,8.702335715267317e-15,0.0
lstm,late,matched,scalars,True,True,5,True,True,True,0.012409542376796404,0.019265252475937206,52.41502683363149,-0.12183577406196722,0.027451174270324934,0.43333333333333335,0.49242424242424243,0.3021431927637805,475.0,56.85999999999999,-4.446666666666666,False,1.2393923488864962,0.11561726224673242,0.018850960830581746,2.931247957829982e-05,3.499964764106931e-05,0.13859427937612526,1.2413030787576953,8.702335715267317e-15,0.0
lstm,late,matched,weighted_emb,True,True,5,True,True,True,0.012529529320696989,0.019396377106507618,51.58020274299344,-0.25455594165949397,0.022220566227122707,0.3870967741935484,0.09090909090909091,0.2682532500633823,475.0,56.85999999999999,-5.283333333333334,False,2.618985242217979,0.9495785746290115,0.07022289861044773,0.0002403691640696175,0.00025998660503585483,0.13667717099191434,2.6199681931911565,8.702335715267317e-15,0.0
rf,late,matched,none,True,True,5,True,True,True,0.012672494786481062,0.019578764215111732,53.90578413834228,0.3807399639172373,0.09726215135192985,0.46153846153846156,0.25,0.3911444828245753,475.0,56.85999999999999,-2.953333333333333,False,0.8824477392336751,0.2306072273273724,0.008088501086856445,8.439470372173492e-05,2.646419328697187e-05,0.061045134769509415,0.8821753416035462,8.702335715267317e-15,0.0
rf,late,matched,scalars,True,True,5,True,True,True,0.012566217221319675,0.019453243042031925,53.786523553965424,0.5934799281455094,0.07090986683451637,0.46779661016949153,0.5227272727272727,0.45207487867431223,475.0,56.85999999999999,-3.073333333333333,False,0.5465206553316422,0.4398142976196469,0.025134686699277643,8.79482778859395e-05,6.328115133058881e-05,0.03813762436567099,0.5444569159569316,8.702335715267317e-15,0.0
rf,late,matched,weighted_emb,True,True,5,True,True,True,0.012681106415887674,0.01959730808933576,53.548002385211696,0.2785445619377392,0.09627079137794241,0.45864661654135336,0.23106060606060605,0.3675841522651993,475.0,56.85999999999999,-3.313333333333333,False,0.7229788701837868,0.11054575767957905,0.008079271385454213,7.216443006310744e-05,2.550366071743657e-05,0.053511435989740584,0.7216878364870323,8.702335715267317e-15,0.0
cnn_lstm,late,matched,none,True,True,5,True,True,True,0.012340663932263851,0.01916555625696977,49.01610017889087,-0.5977025473584506,-0.0135698827933512,0.5,0.08712121212121213,0.3807567998674868,475.0,56.85999999999999,-7.846666666666667,False,3.6965971949502383,0.5520722356634441,0.05676050800342433,6.899221023642685e-05,5.4751243452673404e-05,0.21066473078238201,3.698706981275124,8.702335715267317e-15,0.0
cnn_lstm,late,matched,scalars,True,True,5,True,True,True,0.012342455796897411,0.019166072209676106,50.74537865235539,-0.1494107884868298,0.003172713258711718,0.43190661478599224,0.42045454545454547,0.4709316595856345,475.0,56.85999999999999,-6.113333333333333,False,2.4353700484987635,0.756747617631838,0.05693220105001966,7.416317231756937e-05,6.882962847275249e-05,0.0995373296480834,2.435289168319305,8.702335715267317e-15,0.0
cnn_lstm,late,matched,weighted_emb,True,True,5,True,True,True,0.012338926394780477,0.01918362018962701,49.55277280858676,-0.6646739358246156,-0.029813181074868123,0.45,0.06818181818181818,0.3578093374761722,475.0,56.85999999999999,-7.3066666666666675,False,2.77713321936673,0.739226572452455,0.04044811346555708,8.185578495867172e-05,5.32492563312858e-05,0.232219404903724,2.7795383309703308,8.702335715267317e-15,0.0
