model_name,fusion_type,news_scope,sentiment_mode,shuffle_news,market_encoder_name,output_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,fusion_style,market_query_mode,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,train_time_sec,train_time_sec_std,degenerate,seed_count
cmtf,cmtf,all,scalars,False,lstm,anchored_fusion,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,learned,multi,0.013908196201540721,0.0010567427126382046,0.020468982259648705,0.000985025730477277,45.807237299930414,1.0877173996061615,0.4279837198207923,0.4936757226795665,0.04048334421145009,0.02264832185674358,0.5125114625649397,0.010118506103094942,0.4581046323548909,0.010459959855687165,0.48273229213939506,0.0109577323557027,2142.0,0.0,50.47,0.0,-4.666666666666667,1.0878572210236659,75.08333333333333,4.898676692060134,False,3
cmtf,cmtf,all,scalars,True,lstm,anchored_fusion,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,learned,multi,0.013283715622985401,4.9971463625625e-05,0.019882121827306625,4.2481940363541655e-05,46.50313152400835,0.5296916265705759,0.5330180068384723,0.07099019526528426,0.032348205308107565,0.019124445937069603,0.5184670577486717,0.00634154512973328,0.46288369731159884,0.00610558303895859,0.45126863404211415,0.030940975537516856,2142.0,0.0,50.47,0.0,-3.966666666666667,0.5281413952090231,74.53333333333335,3.7225305013301573,False,3
lstm,early,matched,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.013211489428666715,4.333180255039081e-05,0.019823604776854544,1.1448747953133746e-05,49.26931106471816,2.034151907088206,0.5831274898527932,0.05272272457881708,0.03666323130340327,0.010954355440574569,0.5198892754875434,0.025853217862878933,0.48854887798945823,0.019387859160424396,0.3662632559437801,0.0533288743978911,2142.0,0.0,50.47,0.0,-1.2,2.0353132437047616,41.69,3.4492752862014404,True,3
lstm,late,matched,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.013214698958032354,3.2416404407298227e-05,0.01980995344246273,1.374498097417473e-05,46.59011830201809,0.8485559080206766,0.47300585763247893,0.30831053565473715,0.016643702503112767,0.02424844714678824,0.5263075115889901,0.022747859123173186,0.46349701730699305,0.006897631086224602,0.4265292672249365,0.0487208594044128,2142.0,0.0,50.47,0.0,-3.8800000000000003,0.8478797084492588,217.48333333333335,24.12389962948224,False,3
lstm,none,matched,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.013232056005606209,6.0178409787854825e-05,0.01983035661875884,1.6353225271780075e-05,45.84203201113431,1.0713155405943406,0.4301315751038543,0.20847752079259027,0.016412964006822527,0.025692806793956025,0.5119426885973198,0.012337394704017473,0.45700439766963824,0.012106641172086161,0.44533526045226607,0.0615690403058018,2142.0,0.0,50.47,0.0,-4.626666666666667,1.0734213214452812,0.8566666666666666,0.14843629385474882,False,3
