model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,degenerate,DA%_std,Sharpe_std,IC_std,RMSE_std,MAE_std,F1_std,DA_skill%_std,base_rate_DA%_std,ESS_std
lstm,none,none,none,True,True,5,True,True,True,0.01231740756581227,0.019223712384700775,50.3875968992248,-0.7919043357451647,-0.009979156247138883,0.4423076923076923,0.17424242424242425,0.30364706625003945,475.0,56.85999999999999,-6.47,False,1.7002477554422473,0.32123368049504053,0.03363864774167244,9.108962985622586e-05,4.844106836839188e-05,0.13219946684716238,1.7007939322563446,8.702335715267317e-15,0.0
lstm,late,matched,scalars,True,True,5,True,True,True,0.012409542376796404,0.019265252475937206,52.41502683363149,-0.12183577406196722,0.027451174270324934,0.43333333333333335,0.49242424242424243,0.3021431927637805,475.0,56.85999999999999,-4.446666666666666,False,1.2393923488864962,0.11561726224673242,0.018850960830581746,2.931247957829982e-05,3.499964764106931e-05,0.13859427937612526,1.2413030787576953,8.702335715267317e-15,0.0
lstm,late,all,scalars,True,True,5,True,True,True,0.012411564278105894,0.01926725171506405,52.41502683363149,-0.12544696885092768,0.028668015113526884,0.43478260869565216,0.49242424242424243,0.29801337049784576,475.0,56.85999999999999,-4.446666666666666,False,1.0881507209835801,0.09243018819656061,0.018534528300926233,3.297054193790414e-05,3.681221294787079e-05,0.14270047902749342,1.0891433942935766,8.702335715267317e-15,0.0
rf,none,none,none,True,True,5,True,True,True,0.012725817039608955,0.019656744475166004,52.892069171138935,0.05988947880341192,0.09625247989448604,0.4107142857142857,0.17424242424242425,0.2964564985841582,475.0,56.85999999999999,-3.966666666666667,False,1.2176850242493815,0.18454688386655185,0.007615870912431719,0.00010053167467721468,3.993634877369891e-05,0.05789903143084339,1.219603760790091,8.702335715267317e-15,0.0
rf,late,matched,scalars,True,True,5,True,True,True,0.012566217221319675,0.019453243042031925,53.786523553965424,0.5934799281455094,0.07090986683451637,0.46779661016949153,0.5227272727272727,0.45207487867431223,475.0,56.85999999999999,-3.073333333333333,False,0.5465206553316422,0.4398142976196469,0.025134686699277643,8.79482778859395e-05,6.328115133058881e-05,0.03813762436567099,0.5444569159569316,8.702335715267317e-15,0.0
rf,late,all,scalars,True,True,5,True,True,True,0.012564897226790587,0.019456701974074047,54.025044722719144,0.6648579558515871,0.0708567303658403,0.46779661016949153,0.5227272727272727,0.4495536857288569,475.0,56.85999999999999,-2.8333333333333335,False,0.3577817531305918,0.3813508235643333,0.024917346477657032,8.904817375696738e-05,6.174474308423173e-05,0.042405561753418024,0.3550117368951812,8.702335715267317e-15,0.0
cnn_lstm,none,none,none,True,True,5,True,True,True,0.012307324446737766,0.019136563564340275,50.92426952892069,0.1406649165019809,0.026123443342607595,0.38461538461538464,0.30303030303030304,0.4026114770331631,475.0,56.85999999999999,-5.933333333333333,False,5.4446734567267585,1.6433661344500734,0.13016545978540053,0.00010241977744946991,0.00010860149857880331,0.08197258206400639,5.446341279550276,8.702335715267317e-15,0.0
cnn_lstm,late,matched,scalars,True,True,5,True,True,True,0.012342455796897411,0.019166072209676106,50.74537865235539,-0.1494107884868298,0.003172713258711718,0.43190661478599224,0.42045454545454547,0.4709316595856345,475.0,56.85999999999999,-6.113333333333333,False,2.4353700484987635,0.756747617631838,0.05693220105001966,7.416317231756937e-05,6.882962847275249e-05,0.0995373296480834,2.435289168319305,8.702335715267317e-15,0.0
cnn_lstm,late,all,scalars,True,True,5,True,True,True,0.012369048160811266,0.01917460188269615,51.222420989862854,0.05055086961852669,0.00872430467445527,0.43410852713178294,0.42424242424242425,0.48486505389485135,475.0,56.85999999999999,-5.636666666666667,False,1.6621776821426824,0.9024960947071107,0.06213989378061963,6.557036088172939e-05,0.00010184394322369862,0.1023098913413391,1.6610037126187687,8.702335715267317e-15,0.0
