real_cell,placebo_cell,real_minus_placebo_DA,real_minus_placebo_Sharpe,real_minus_placebo_IC,n_seeds_available,bootstrap_seed,DA_ci_low,DA_ci_high,Sharpe_ci_low,Sharpe_ci_high,IC_ci_low,IC_ci_high
0,0p,-5.871779765702079,-0.8704999307647604,-0.03448456855529068,3,1,-9.114949214669208,-2.58944394353937,-1.2804482270922413,-0.44716533472201425,-0.08737121257532116,0.02101251758231422
8,8p,1.1327003516289234,0.16847640584858806,0.05547828998729114,3,1,-1.8338190259804419,4.025891076769686,-0.22850965458737166,0.5737207865583784,0.006314563239807329,0.10626837528258791
18,18p,-0.6509356747084116,-0.229158006173801,0.026755825532588255,3,1,-3.7272793203481127,2.295523666105646,-0.6422491864370399,0.18622131223169272,-0.030950342753444958,0.0832284556455967
