model_name,split,accuracy,macro_precision,macro_recall,macro_f1,mae,rmse,pearson,spearman,support,checkpoint_path
custom_transformer,val,0.79,0.7463708290333676,0.7689278752436647,0.7546607213273879,0.35675114393234253,0.5117559432983398,0.7742133229245948,0.744059346389458,100,outputs\sentiment\latest\custom_transformer\custom_transformer.pt
custom_transformer,test,0.7128712871287128,0.6730994152046783,0.695204678362573,0.6703762586115527,0.42603880167007446,0.5972881317138672,0.6813801114360131,0.6353517354559176,101,outputs\sentiment\latest\custom_transformer\custom_transformer.pt
phobert,val,0.83,0.8037095088819227,0.8026900584795321,0.7975040257648954,0.23344556987285614,0.47231823205947876,0.8002015212804764,0.783077831987355,100,outputs\sentiment\latest\phobert\phobert.pt
phobert,test,0.8811881188118812,0.8574074074074073,0.8764912280701754,0.8661353661353662,0.2205483317375183,0.43398019671440125,0.8370994153846527,0.8147560549216608,101,outputs\sentiment\latest\phobert\phobert.pt
