model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,True,True,True,3,True,True,True,128,64,128,4,0.1,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.07207847116493132,0.0016617357193315708,0.10023956937373592,0.0020826398233698778,48.461034708578914,1.9874251349696779,0.39952784565252203,0.22328698815944037,0.1433769081591017,0.1049968345870771,0.5743278547367033,0.023805759618774614,0.4975709841132025,0.011657547695108206,0.48023800035681674,0.059192019324908175,11.0,0.0,53.24,0.0,-4.776666666666666,1.98860084816771,False,3
lstm,early,matched,scalars,,True,True,True,5,True,True,True,128,64,128,2,0.2,0.1,0.3,0.33,100,60,15,12,1.0,0.001,0.06679405406521942,0.001582308674502581,0.09690366866143763,0.003185837898982562,61.16568434839555,8.091663534291277,0.9209246817479794,0.9522244085918338,0.30484478155425676,0.023344969133731578,0.6739604698460674,0.09258942503632477,0.5982924535127704,0.08909616071946619,0.6013111485882396,0.125528283902618,11.0,0.0,53.24,0.0,7.926666666666666,8.089328361077534,False,3
lstm,late,matched,scalars,,True,True,True,5,True,True,True,128,64,128,2,0.2,0.1,0.3,0.33,100,60,15,12,1.0,0.001,0.07080089593317068,0.0019792377193545286,0.1021139507412988,0.001627053183419756,51.86640471512771,6.302166967522769,0.15940591455599798,0.47116051189662106,0.06986488938615963,0.0814759523556133,0.5773497686336174,0.06453866050498307,0.5200858941362523,0.0508167496292934,0.5041286590782071,0.1013944231338462,11.0,0.0,53.24,0.0,-1.3733333333333333,6.3032240427683774,False,3
lstm,none,none,none,,True,True,True,5,True,True,True,128,64,128,2,0.2,0.1,0.3,0.33,100,60,15,12,1.0,0.001,0.0699638337566817,4.472351345640043e-05,0.10104538380462154,6.067148712738841e-05,50.884086444007856,4.308784322094558,0.03266465586926277,0.0553658199402394,0.1332146078345309,0.07574855409488734,0.5461525186587212,0.05418094388112145,0.5064265558621973,0.023246425340423198,0.41335637315496654,0.1295444697572251,11.0,0.0,53.24,0.0,-2.3566666666666665,4.310653469409636,False,3
