model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,output_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,False,False,False,False,False,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.06997630412905248,0.0019886346227350237,0.09730510513202,0.0031428499413492877,59.07007203667322,5.01784224086196,0.9817862672831229,0.6215149688633257,0.22867531923711829,0.18493111992544284,0.7027591092142936,0.09861288114851996,0.5733252710678367,0.04526292836189678,0.5734053914268312,0.0333552737139712,11.0,0.0,53.24,0.0,5.826666666666667,5.017981001691151,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,False,False,False,True,True,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.07307502880423639,0.002661225583615265,0.098786733770642,0.0034642327695031056,55.075311067452525,6.546495996912594,0.8716271404097707,0.5371297272944475,0.13896244017755732,0.11372061186800603,0.6508100622738636,0.11465689386927463,0.5372595532678016,0.0644651619592661,0.5521807687174918,0.0686549761732215,11.0,0.0,53.24,0.0,1.8366666666666667,6.5430905032204265,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,True,True,True,True,False,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.07468535691354568,0.006198621522415997,0.10052912637387984,0.005532652573183889,57.10543549443353,0.2268566873043668,0.9321933872079211,0.15226711341306878,0.1764683652293829,0.111853398963281,0.6821823293146455,0.052263619730420215,0.5557278261858248,0.012590810531426994,0.5490343936960209,0.060254445006240644,11.0,0.0,53.24,0.0,3.8633333333333333,0.23094010767585024,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,True,True,True,True,True,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.07575666005749564,0.005868349701412082,0.10120225743998355,0.005299551300890857,55.59921414538311,1.7127304296819943,0.8379579322617672,0.2166947840029707,0.15490821185705306,0.08313436384372738,0.6541608937548203,0.038700473027668804,0.5395361096468108,0.02311071034956104,0.5338212453111522,0.05282252843352977,11.0,0.0,53.24,0.0,2.36,1.7171779173981945,False,3
