model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,cnn_lstm,True,True,True,5,True,True,True,0.07143571163115718,0.0025828002015071084,0.1004589795487442,0.002545602234048752,47.151277013752456,6.209619107771752,0.4011485257702483,0.42676075077593817,0.04423410518179813,0.11286234400287855,0.5230308508770333,0.07340371758814213,0.46966572606902535,0.053872803490433635,0.48685166576636485,0.056420306308296204,11.0,0.0,53.24,0.0,-6.086666666666667,6.210815834762236,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,5,True,True,True,0.07085000514440057,0.0015730457474688719,0.10078700575010195,0.0009102440254420772,51.538965291421086,2.164074871232263,0.520638385632865,0.18118327250192923,0.11177241218882318,0.04027179439846548,0.5747797567430041,0.02482936844782899,0.5159023018801617,0.020544051275607097,0.5197577274114101,0.039693520128812255,11.0,0.0,53.24,0.0,-1.7033333333333334,2.1630842178087595,False,3
cnn_lstm,early,matched,scalars,,True,True,True,5,True,True,True,0.06829851825122153,0.0009773415568030755,0.09868174251528804,0.001755035113359168,60.77275703994761,6.388342317358064,0.9598849704680398,0.6272063884812713,0.4262128549292125,0.06524879155785573,0.6675245602459792,0.03341292200948809,0.5897418007793523,0.07567768528329108,0.5520586071761352,0.14687740012013037,11.0,0.0,53.24,0.0,7.53,6.386571850374817,False,3
cnn_lstm,late,matched,scalars,,True,True,True,5,True,True,True,0.07046577736907263,0.000843965735337162,0.1014866620762385,7.214195218260129e-05,47.54420432220039,1.1950417544790244,-0.08769522395394717,0.1651281662789841,0.03353159357954121,0.07852876050117345,0.4859958553116392,0.04074154715530793,0.47565815994294397,0.028173192030650926,0.3990855707961887,0.0932423550806746,11.0,0.0,53.24,0.0,-5.696666666666666,1.196007246354859,False,3
cnn_lstm,none,none,none,,True,True,True,5,True,True,True,0.07007820349035776,0.00010995905919053622,0.10104083584796573,8.651716188773664e-05,50.94957432874918,8.640679082153527,0.24578758807193316,0.3821395463208068,0.1114866761465421,0.1822401149818551,0.5485479679433235,0.13632848612088982,0.5350966955047701,0.07560745074885437,0.4198363053134164,0.17654013596651505,11.0,0.0,53.24,0.0,-2.2933333333333334,8.640007716045938,False,3
lstm,early,matched,scalars,,True,True,True,5,True,True,True,0.06679405406521942,0.001582308674502581,0.09690366866143763,0.003185837898982562,61.16568434839555,8.091663534291277,0.9209246817479794,0.9522244085918338,0.30484478155425676,0.023344969133731578,0.6739604698460674,0.09258942503632477,0.5982924535127704,0.08909616071946619,0.6013111485882396,0.125528283902618,11.0,0.0,53.24,0.0,7.926666666666666,8.089328361077534,False,3
lstm,late,matched,scalars,,True,True,True,5,True,True,True,0.07080089593317068,0.0019792377193545286,0.1021139507412988,0.001627053183419756,51.86640471512771,6.302166967522769,0.15940591455599798,0.47116051189662106,0.06986488938615963,0.0814759523556133,0.5773497686336174,0.06453866050498307,0.5200858941362523,0.0508167496292934,0.5041286590782071,0.1013944231338462,11.0,0.0,53.24,0.0,-1.3733333333333333,6.3032240427683774,False,3
lstm,none,none,none,,True,True,True,5,True,True,True,0.0699638337566817,4.472351345640043e-05,0.10104538380462154,6.067148712738841e-05,50.884086444007856,4.308784322094558,0.03266465586926277,0.0553658199402394,0.1332146078345309,0.07574855409488734,0.5461525186587212,0.05418094388112145,0.5064265558621973,0.023246425340423198,0.41335637315496654,0.1295444697572251,11.0,0.0,53.24,0.0,-2.3566666666666665,4.310653469409636,False,3
rf,late,matched,scalars,,True,True,True,5,True,True,True,0.06955098759637968,0.001368732512972788,0.10121593116824161,0.0007524529057801894,52.25933202357564,4.011901347084901,0.23844308405706247,0.14208975191794046,0.16158335648415578,0.12061837758911638,0.6198496855329153,0.10188910908368012,0.5250550404663711,0.04956439246849041,0.5259668520000453,0.01880910142355578,11.0,0.0,53.24,0.0,-0.9833333333333333,4.010415606060466,False,3
rf,none,none,none,,True,True,True,5,True,True,True,0.06661730133213058,0.0003697495829777792,0.10024922792580654,0.0002985365679242201,59.26653569089718,0.30010318892965093,0.45001280270296734,0.018559495857905294,0.2702506378021648,0.04206454725892211,0.7016323685722775,0.02115964554530879,0.5752555634800046,0.0034895510477006273,0.5786446921781717,0.004838338171494057,11.0,0.0,53.24,0.0,6.026666666666666,0.30005555041247495,False,3
