model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,output_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,128,64,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.07182080480181563,0.0011389257296502034,0.10014849826522158,0.0015520420960859023,50.22920759659463,2.0448585456445323,0.4380200725277685,0.12200280136419073,0.14216028535617997,0.02179981184158666,0.5895658719616211,0.027083936260454043,0.5077806030161142,0.008742011386361022,0.509684968085422,0.0525184601684627,11.0,0.0,53.24,0.0,-3.01,2.0440401170231466,False,3
cmtf,cmtf,matched,scalars,lstm,market_plus_fusion,True,True,True,3,True,True,True,128,64,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,0.07264646110888438,0.00020186580841278018,0.10272398169210284,0.0010315309169365355,53.24165029469548,4.645025704336693,0.5345667741055156,0.22766184221480953,0.04883703691142685,0.10607367587112328,0.6023399398544096,0.04484456995295499,0.5366678036528265,0.03645994370572559,0.5494536744663693,0.06779387734695494,11.0,0.0,53.24,0.0,0.0,4.6431993280495725,False,3
