model_name,fusion_type,news_scope,sentiment_mode,shuffle_news,market_encoder_name,output_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,fusion_style,market_query_mode,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,train_time_sec,train_time_sec_std,degenerate,seed_count,DA%_gated,DA%_gated_std,Sharpe_gated,Sharpe_gated_std,IC_gated,IC_gated_std,gate_coverage,gate_coverage_std,gate_tau,gate_tau_std,gate_conviction
chronos,late,all,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.07211485730565795,0.004100551166000619,0.09771532002110768,0.0029814013745572804,52.83296541574688,5.480644658079121,0.5269097354276929,0.42365559885255294,0.18012527873917147,0.10448735926304265,0.5558979343012231,0.09905721430014278,0.4850009325499913,0.05300234706503841,0.4829887642759611,0.06069398800035069,100.0,0.0,57.84,0.0,-5.01,5.482216704947005,129.42999999999998,49.77469939638007,False,3,67.89564865088069,5.923042220434286,0.7525296164905423,0.12418687511611518,0.09475786628961952,0.2145141380845583,0.3351584536253526,0.06709490765822701,0.02834717867275079,0.0001550100091828022,True
chronos,none,matched,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.06970396310163045,0.00020693692496747784,0.09603880174532019,0.000216484267038664,55.73951434878587,3.6323361306632087,0.5628568054259167,0.010834041690979786,0.16154303742652812,0.04773571934986322,0.5552072143996191,0.04011296565082108,0.4860675366025872,0.024131734478912717,0.3840539639690559,0.030519423781029148,100.0,0.0,57.84,0.0,-2.0966666666666667,3.631533193202746,164.50333333333333,32.200621629610396,True,3,65.86285116383009,2.1574077432036898,0.7815623996089386,0.0772943135987104,-0.035068319009353394,0.011030781919849074,0.37962502074000337,0.009249948475039889,0.013580654437343279,0.003867867201610604,True
cmtf,cmtf,all,scalars,False,chronos,anchored_fusion,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,learned,multi,0.06912195138544143,0.0017235490111503905,0.09472265829872822,0.001702345491706334,55.70272259013981,1.1260622474468631,0.742762212290554,0.1339336410227271,0.25222588690708947,0.038730600576787066,0.6713566180935843,0.07871982887317824,0.5333386621904267,0.04984551803416574,0.5242511453599948,0.10151012080601063,100.0,0.0,57.84,0.0,-2.1366666666666667,1.1271350111381215,322.12,71.89561252260114,False,3,72.25182116700539,4.368704861733096,0.9022604519860252,0.039190857530228725,0.27880805159704264,0.23596935005976716,0.3388086942093911,0.07800923748476078,0.03345322671035925,0.014969869747416436,True
cmtf,cmtf,all,scalars,False,cnn_lstm,anchored_fusion,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,learned,multi,0.06969115252062548,0.0028686244564795436,0.09432005141335587,0.0029280727836122457,54.819720382634294,3.10296553572123,0.7258390259886772,0.2188966008183819,0.2901538028218737,0.019830400654829623,0.6287338512534447,0.0051420019065385675,0.5546724085101847,0.004056666547616691,0.5597935663375652,0.01222405098625271,100.0,0.0,57.84,0.0,-3.02,3.103916880330399,85.70666666666666,28.983626987203195,False,3,79.22077713332413,4.555600037056217,0.8854910429150546,0.07546574376486792,0.4751150118220237,0.03280868774938931,0.22697859631657544,0.06036867407918517,0.04679799793908993,0.017562836506118094,True
cmtf,cmtf,all,scalars,False,gpt4ts,anchored_fusion,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,learned,multi,0.06883784987820897,0.0019508803806698722,0.0917017426765767,0.0005160669818588867,55.59234731420162,3.425340392813215,0.9365460903991855,0.1293627688725123,0.34225722051591934,0.08590704454536574,0.6209054697559245,0.07039612072485725,0.5143537761613578,0.01830561403480431,0.5174351619536107,0.02225661281331134,100.0,0.0,57.84,0.0,-2.2466666666666666,3.4286780737382347,303.04,7.565163580518287,False,3,83.32931112425378,2.5544186366424344,1.1633337910398323,0.13152535518466243,0.18698216348483607,0.1374941576699857,0.2706155632984901,0.040420856463268574,0.04452836699783802,0.015571411104651522,True
cmtf,cmtf,all,scalars,False,lstm,anchored_fusion,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,learned,multi,0.06897097421924858,0.0020200921884201807,0.09257581021887594,0.0016980910131334406,55.9234731420162,1.1904848923740574,0.830578749442965,0.179837048908157,0.32842985243801603,0.01952782709755737,0.635302883764601,0.032919065148926376,0.5022006514527796,0.028075576756535287,0.46193070520591933,0.08017153152688603,100.0,0.0,57.84,0.0,-1.9166666666666667,1.1864372437399853,65.80666666666667,1.8406882770673982,False,3,84.02653191775245,9.060944295752105,1.1171510659817423,0.11886590021582562,0.16677893351210762,0.11562324206966378,0.27177700348432055,0.05565349473444766,0.04214052235086759,0.006523346169101111,True
cmtf,cmtf,all,scalars,True,lstm,anchored_fusion,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,learned,multi,0.07134230188737885,0.001389895737118943,0.09575121706804775,0.0007330170689467349,54.59896983075791,1.0847331116854717,0.773536599705943,0.11974589117452929,0.15265240486173523,0.05043480545328303,0.6086412688718966,0.02133836336695205,0.49985428906385304,0.02429048557031892,0.49062784156389067,0.05848599960923421,100.0,0.0,57.84,0.0,-3.2399999999999998,1.0829127388668027,81.98333333333333,3.616273404118297,False,3,63.36499804926594,4.202715677089093,0.6571095940743382,0.043705082297467376,0.0894500175092247,0.060730129536979295,0.2563464410154306,0.06680377927250421,0.03802979923784733,0.010271202475026452,True
cnn_lstm,early,all,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.06606127482344244,0.0012107231346401965,0.08885356508971869,0.001957176879519542,60.65121412803532,4.301804695343283,1.3524573509553257,0.2298210876204898,0.4253776448472019,0.028477502689387858,0.6873432960877297,0.007322380974199238,0.6052041285320331,0.01640780156637256,0.6262630746022434,0.03770653118525486,100.0,0.0,57.84,0.0,2.81,4.3044976478097885,92.53666666666668,7.75826226247433,False,3,77.57040068605788,4.888378541786294,1.2152223867544598,0.11408195802078497,0.5339757056723075,0.028296609454612168,0.37298821967811513,0.09149086632840756,0.04006989672780037,0.02006092662654563,True
cnn_lstm,late,all,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.07217072357806208,0.002082620001636607,0.09792351284082541,0.0029320084401832014,53.45842531272995,1.9529979023688835,0.6723709575831173,0.17108547192928508,0.14179903679487613,0.043072849061690274,0.5900266664254218,0.020311966587937588,0.5079658087206746,0.03660011507630645,0.4890230199800489,0.10746740732939282,100.0,0.0,57.84,0.0,-4.383333333333334,1.9511620469180242,242.93999999999997,30.467681237665595,False,3,58.20959448574316,4.352036836417763,0.30604707211188376,0.2936275737056755,-0.017505441597585797,0.06386939053441087,0.27708644433383106,0.09674275868556256,0.022387302635858457,0.011107683888090933,True
cnn_lstm,none,matched,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.07031167293113226,0.0011148696200621198,0.09563413537891947,0.001253303273788226,57.597498160412066,3.7916491188501973,0.8902665699773507,0.19809430622438315,0.1380128374710169,0.012960113767328517,0.6945630038067193,0.11955902676613145,0.5316883817593222,0.03313908767330854,0.5261007750841932,0.06187289004504519,100.0,0.0,57.84,0.0,-0.24333333333333318,3.7936042668329724,68.44666666666667,1.4967409038752666,False,3,61.05017234806593,2.7839155577437205,0.5574917455017958,0.17271924279659528,0.1056121600986389,0.09360558646729687,0.38078646092583374,0.016044560937069376,0.02452352239439885,0.009178305914075936,True
gpt4ts,late,all,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.0721060729764586,0.0034449259431090693,0.09949177511204549,0.0038720139477625196,48.620309050772626,11.409168254643129,0.06293729306377827,0.9906483487703218,0.08068089878664192,0.2325368232645521,0.562817692481464,0.1393530129273147,0.47802262765943276,0.07746253338465206,0.48262144837723703,0.07018610566242925,100.0,0.0,57.84,0.0,-9.22,11.405301398910947,3730.77,80.65766609566633,False,3,55.24407467642043,18.51786236425683,-0.13904247091777797,0.5728017580932716,-0.08487255168781159,0.09763767551588612,0.3318400530944085,0.31178315578355337,0.014268187340348959,0.0065726741543065004,True
gpt4ts,none,matched,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.06944826464193753,0.00039638964748578084,0.09580133667970703,0.0005119047095282075,55.42678440029433,2.872055738777775,0.6001313791358984,0.12858359950842235,0.13902443776684567,0.0594884917477835,0.5749275182448917,0.03856783525999315,0.4870883457895368,0.01197247129015871,0.4030631266552762,0.055830687610438995,100.0,0.0,57.84,0.0,-2.41,2.872699079263263,1409.1933333333334,62.45982255284859,True,3,64.74393260759663,2.914369709513111,0.5989263564316775,0.22526196115501054,0.05256630490754708,0.15840349701124365,0.38427078148332505,0.0840153548177461,0.015252023314436277,0.001191777963618793,True
lstm,early,all,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.06825911911130299,0.0017766745690946017,0.09394401469983443,0.001897215891657365,54.801324503311264,4.1844459353791095,0.6828617272230418,0.24664337965977168,0.3095262770138449,0.07359689723171577,0.6073583266270086,0.04601847843949691,0.5332312524146383,0.05353942703267365,0.4995054139910065,0.12099306579523872,100.0,0.0,57.84,0.0,-3.0399999999999996,4.183407701862203,52.14666666666667,7.13706755841174,False,3,75.40682911488916,5.148079456221038,1.032407342110352,0.07948408022581949,0.4202176653175475,0.22882708804064103,0.34362037497925996,0.04497595845930732,0.028198416034380596,0.006429622886433916,True
lstm,late,all,scalars,False,,market_plus_fusion,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,handcrafted,multi,0.07173111625726358,0.0023918299393905613,0.09781291210305225,0.0031497291129896415,50.90139808682855,5.022479343954606,0.48974575989845226,0.33629380697577954,0.11412115887635343,0.1029432741805456,0.4869365803563417,0.08361626565973071,0.47823411667532606,0.022181961785652893,0.4599309817310278,0.07669027111685214,100.0,0.0,57.84,0.0,-6.9366666666666665,5.020401710354793,130.65333333333334,30.880630390802153,False,3,61.385533663813305,8.063936777130428,0.21335394450772893,0.654117641575052,-0.03036925100073769,0.5049405255923922,0.20939107350257177,0.03938390654651504,0.02419573316971461,0.0042244903431732,True
