model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,output_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,fusion_style,market_query_mode,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,False,True,True,3,True,True,True,False,False,False,False,False,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,learned,last,0.07023922881771257,0.001659689058553178,0.09982008829061358,0.0014402808528833824,50.09823182711199,7.1405822575191555,0.51161606749832,0.4555485791186913,0.1964965592834227,0.05405124893373216,0.605006483477053,0.15346908559360303,0.49827901640360944,0.051326054764476,0.4789064349689995,0.07237395064660719,11.0,0.0,53.24,0.0,-3.1400000000000006,7.141449432713221,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,False,False,False,False,False,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,learned,last,0.0762588972768085,0.0048404388521346734,0.10077465364449571,0.004889423064005114,54.09299279633268,6.104089167115148,0.804666319257481,0.44924024987383776,0.04714297825355782,0.19018745896599348,0.654006714506233,0.11476834895853917,0.5221505576400302,0.054834015546264415,0.5060510999204509,0.030784662024468695,11.0,0.0,53.24,0.0,0.8533333333333334,6.10024043242013,False,3
cmtf,cmtf,matched,scalars,lstm,fusion_plus_news,True,True,True,3,True,True,True,True,True,True,True,True,64,32,128,4,0.1,0.005,0.2,0.0,0.33,80,80,12,10,0.3,0.001,handcrafted,multi,0.07575666005749564,0.005868349701412082,0.10120225743998355,0.005299551300890857,55.59921414538311,1.7127304296819943,0.8379579322617672,0.2166947840029707,0.15490821185705306,0.08313436384372738,0.6541608937548203,0.038700473027668804,0.5395361096468108,0.02311071034956104,0.5338212453111522,0.05282252843352977,11.0,0.0,53.24,0.0,2.36,1.7171779173981945,False,3
