decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2114,52.62605042016807,0.967869967776086,0.13267117033038764
2,0.9,0.8978,0.00266188639216125,1898,54.48195576251456,0.9834259534314563,0.13132625510390666
3,0.8,0.8037,0.0050712283700704575,1699,57.421875,0.9733676395602027,0.12724470177940211
4,0.7,0.7384,0.0070543922018259765,1561,57.19347980155918,0.9716574932215529,0.12984726895967524
5,0.6,0.6414,0.009479492902755737,1356,57.213114754098356,0.9735610596411346,0.12652637478145548
6,0.5,0.5714,0.011448608711361885,1208,56.98529411764706,0.95535090792985,0.12754411769201193
7,0.4,0.4792,0.014221386797726152,1013,58.050383351588174,0.9840073186652545,0.13027037222203078
8,0.3,0.3647,0.017860926501452924,771,57.985611510791365,0.9621251745046078,0.15092428063804988
9,0.2,0.2498,0.022831001132726673,528,61.16910229645094,0.9823589026038764,0.159470506824308
10,0.1,0.1542,0.029663192294538024,326,64.0,0.953765937636992,0.1765589519290857
