decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2114,48.739495798319325,0.19098465187847596,0.07436808234475759
2,0.9,0.9082,0.0029507830971851937,1920,50.7531865585168,0.19791513197199784,0.07988658166698354
3,0.8,0.8098,0.0060163650661706845,1712,54.12070084360805,0.1834891580398636,0.08628778434904967
4,0.7,0.7152,0.009330061543732882,1512,54.142011834319526,0.17747271620143473,0.09429598229330348
5,0.6,0.6235,0.012368276156485081,1318,53.49032800672834,0.14161456249753734,0.10655365308526016
6,0.5,0.527,0.015282077249139547,1114,53.12190287413281,0.14708865918178024,0.13106306303832746
7,0.4,0.4234,0.018592764809727668,895,54.207920792079214,0.20786811573132224,0.1640834501901025
8,0.3,0.3354,0.022044000588357444,709,56.018518518518526,0.2873823199581761,0.19339225842906027
9,0.2,0.2479,0.02614896558225155,524,59.42028985507246,0.4373533009535544,0.22719917776518167
10,0.1,0.1533,0.03202904276549816,324,64.54849498327759,0.537856929902365,0.23231258630283222
