decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2114,44.905462184873954,0.20877603505873815,0.05363568713818372
2,0.9,0.9385,0.0027218990493565794,1984,46.88726864834549,0.22100859026431569,0.05220297148918662
3,0.8,0.8675,0.005629152990877628,1834,49.42178940961656,0.22220732847001332,0.053249957437623875
4,0.7,0.7956,0.008390301279723645,1682,50.06631299734748,0.2346420869420721,0.05623203359149327
5,0.6,0.7403,0.01064090859144926,1565,50.1067615658363,0.23670240050444505,0.06019024759698157
6,0.5,0.676,0.013171642553061247,1429,50.390015600624025,0.23635038462698305,0.053698501841166944
7,0.4,0.5875,0.016500811651349066,1242,51.39013452914798,0.25330591966883576,0.07148203673102678
8,0.3,0.4787,0.020330970734357832,1012,51.042810098792536,0.25970110093312276,0.07586276994884203
9,0.2,0.3344,0.025748328492045405,707,52.125984251968504,0.25898957217877,0.1530561562791696
10,0.1,0.1287,0.0363314762711525,272,60.56910569105691,0.24618151793407256,0.18427817761329607
