decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2114,43.27731092436975,0.05798712720728638,0.04524340734198411
2,0.9,0.8997,0.0023526948411017644,1902,45.97902097902098,0.04977532921899377,0.0573227647370734
3,0.8,0.8079,0.004335964564234012,1708,48.116883116883116,0.05561298827031498,0.0737198464558897
4,0.7,0.728,0.006277120020240545,1539,48.30324909747292,0.038645945885032194,0.10040136560847544
5,0.6,0.6353,0.008009958639740944,1343,49.2129246064623,0.08326680561613983,0.11370114574042231
6,0.5,0.5563,0.009957950562238693,1176,50.047483380816715,0.09442008289725347,0.12316182505313074
7,0.4,0.4872,0.011819430068135257,1030,51.084598698481564,0.11784568960036332,0.13918814190496162
8,0.3,0.3988,0.01446963185444474,843,53.05039787798409,0.1808629191744122,0.15126042795272646
9,0.2,0.3155,0.01704995147883892,667,54.57570715474209,0.24880604224487596,0.1068870060550132
10,0.1,0.1239,0.024480726942420008,262,57.08154506437768,0.20130805071856755,-0.09015746980777332
