decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2114,42.226890756302524,-0.21422933980599929,-0.01170588162348212
2,0.9,0.9201,0.002111950400285423,1945,44.5578231292517,-0.1952572312544329,-0.008949729944423338
3,0.8,0.8415,0.004267454799264665,1779,46.77819083023544,-0.17017794884648166,-0.0008447441793318267
4,0.7,0.7535,0.0066093541216105224,1593,48.125,-0.12725364092586205,0.0076849863154492375
5,0.6,0.6575,0.009297637082636357,1390,48.801916932907346,-0.06599892619025056,0.01669302480068198
6,0.5,0.5658,0.011968921404331923,1196,48.93023255813954,-0.035415837524344594,0.034613146134556634
7,0.4,0.4541,0.0148874269798398,960,49.53703703703704,0.03664105053663573,0.061906166066906
8,0.3,0.3562,0.017540171556174752,753,50.95447870778267,0.1605985544787525,0.08564242467268038
9,0.2,0.2692,0.02123616449534893,569,51.24760076775432,0.24083593721611476,0.11239512682045949
10,0.1,0.15,0.027644700184464462,317,55.32646048109966,0.34778405705952953,0.15985634505073032
