decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2142,45.19832985386221,0.7527140050172382,0.05717544479852055
2,0.9,0.9337,0.00018181092309532684,2000,45.69832402234637,0.8198441618414744,0.05574987974550454
3,0.8,0.8805,0.0003414594393689184,1886,46.3226571767497,0.8791096552050806,0.054449209728456016
4,0.7,0.8039,0.0005605094193015251,1722,47.85714285714286,0.9037718027672603,0.04944071138218036
5,0.6,0.7372,0.0008897866355255246,1579,50.212464589235125,0.9297355560173203,0.060579714755363064
6,0.5,0.6443,0.0015085719642229378,1380,51.053484602917344,0.9817581573825137,0.05896015849516649
7,0.4,0.5415,0.0023187107872217894,1160,51.24521072796935,0.9859561465858816,0.09272538910515696
8,0.3,0.4486,0.0032865352695807815,961,52.386495925494756,1.0419391559331483,0.10023935951031133
9,0.2,0.3529,0.0045780641958117485,756,54.23476968796434,1.1602842943813,0.1133432249639088
10,0.1,0.2428,0.007149862824007869,520,55.507559395248386,1.1824101642415827,0.14483311282591366
