decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2142,45.61586638830898,0.7542971668332538,0.03986333655051469
2,0.9,0.922,0.0004421205521794035,1975,47.875354107648725,0.8035699865366198,0.04643748986279367
3,0.8,0.8324,0.0009445048635825515,1783,50.31328320802005,0.8559628337678782,0.04603653983151954
4,0.7,0.7479,0.00149402569513768,1602,50.943396226415096,0.9003506472306069,0.04303386574758346
5,0.6,0.6816,0.002011057687923312,1460,50.72796934865901,0.9325254895438322,0.0453148711810033
6,0.5,0.6074,0.0026636210968717933,1301,52.226027397260275,0.9764415683675041,0.05338542622822422
7,0.4,0.5191,0.0035176798701286316,1112,53.04695304695305,0.9614165502750894,0.06957796223584065
8,0.3,0.4276,0.004643390653654933,916,52.07823960880196,0.9054415159486985,0.09404275205645601
9,0.2,0.3357,0.0060701570473611355,719,54.67289719626168,0.8336135113193436,0.1228733290465644
10,0.1,0.2003,0.009369530715048313,429,57.552083333333336,0.9829746442695142,0.22287766590568214
