decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2142,46.18997912317328,0.6983641473082924,0.02213650627580337
2,0.9,0.9304,0.0003016234695678577,1993,48.22934232715008,0.6883100363669347,0.009309380377405163
3,0.8,0.8506,0.0006439718999899924,1822,50.58461538461538,0.6587409661766666,0.004838782621963769
4,0.7,0.7698,0.0009761374094523494,1649,51.69606512890095,0.6094804734017236,-0.005440730648577335
5,0.6,0.6704,0.0014171968214213848,1436,51.20810600155885,0.5387702445175999,0.012666184672446719
6,0.5,0.557,0.0018638045294210315,1193,51.701323251417776,0.5028295382002432,-0.008113089051010717
7,0.4,0.4472,0.0022522348444908857,958,50.70422535211267,0.39396645620541926,0.011656048651490733
8,0.3,0.3497,0.0026333238929510117,749,51.49700598802395,0.3426531096431458,0.022511322066536655
9,0.2,0.2502,0.0032389317639172077,536,51.24999999999999,0.2893600962547081,0.07287902816445443
10,0.1,0.1246,0.004362902138382196,267,53.94736842105263,0.5229008246714403,0.03720532442604453
