decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2142,45.9812108559499,0.3564130569219599,-0.011626273103142425
2,0.9,0.916,0.0002629113005241379,1962,49.65792474344356,0.3659885951221467,-0.02497358616605822
3,0.8,0.852,0.0004468714469112455,1825,50.122549019607845,0.31935531090226965,-0.015433420706818232
4,0.7,0.7787,0.0005587875784840435,1668,50.0,0.2648742215387354,-0.008445082241597976
5,0.6,0.6877,0.0006388439796864986,1473,50.30395136778115,0.3110225153285645,-0.01994043780662325
6,0.5,0.6036,0.0007059989729896188,1293,50.77720207253886,0.291293270670946,-0.019825571997096465
7,0.4,0.4804,0.0007809119415469468,1029,51.02925243770314,0.3524245596838938,-0.04837174688438596
8,0.3,0.3754,0.0008559251728001982,804,48.94810659186536,0.28893352385168025,-0.06653710033981237
9,0.2,0.226,0.0010162706021219492,484,47.7751756440281,0.202056528645903,-0.0844050618671113
10,0.1,0.1387,0.0012333188205957413,297,45.86466165413533,0.11367697539371019,-0.1096612809825674
