decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2142,46.085594989561585,0.38917534671349546,-0.00010812590467475713
2,0.9,0.8922,0.0001679202032391913,1911,48.65181711606096,0.39693394341955746,-0.0018148215165502042
3,0.8,0.7937,0.0003299485833849758,1700,50.3315649867374,0.38042033793778646,0.011344074085499607
4,0.7,0.7115,0.0004794057022081688,1524,50.14792899408283,0.4165768294511431,0.016572303826029037
5,0.6,0.6331,0.0006341634434647858,1356,50.20746887966805,0.4508534948633582,0.02648392693399494
6,0.5,0.5359,0.0008540358976460993,1148,50.77972709551657,0.5018769710632616,0.022076122296683202
7,0.4,0.4262,0.0012038064887747169,913,50.91575091575091,0.5127069186325598,0.03173877543589791
8,0.3,0.3305,0.0016817650757730007,708,51.181102362204726,0.4652613904547018,0.03810073184451917
9,0.2,0.2185,0.0025266462471336126,468,51.77304964539007,0.4108686162295445,0.0883675724200335
10,0.1,0.1176,0.004143756115809083,252,54.58515283842795,0.5130186567048384,0.01208598926100689
