real_cell,placebo_cell,real_minus_placebo_DA,real_minus_placebo_Sharpe,real_minus_placebo_IC,n_seeds_available,bootstrap_seed,DA_ci_low,DA_ci_high,Sharpe_ci_low,Sharpe_ci_high,IC_ci_low,IC_ci_high
0,0p,-7.68540244182527,-0.34892747647413835,-0.004023018386187248,3,1,-9.928026392025197,-5.3903170382936185,-0.5024411800379808,-0.19570819806596854,-0.054440433255628445,0.044482202321706944
8,8p,-2.512103412228734,-0.28240165229762754,-0.04518853008836311,3,1,-5.3153032616871405,0.1676191416335064,-0.4769193663719994,-0.0804287579690137,-0.09821832856143389,0.005711610866587089
18,18p,-2.982587968581476,-0.4093887306242548,0.03598259811584229,3,1,-5.327561968183511,-0.7147598674960878,-0.5595615559283552,-0.26099285743715467,-0.01666874289108322,0.09200094987884037
