cell,group,seed_count,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,train_time_sec,train_time_sec_std,DA%_gated,DA%_gated_std,Sharpe_gated,Sharpe_gated_std,IC_gated,IC_gated_std,gate_coverage,gate_coverage_std,gate_tau,gate_tau_std,MAE_ci95,RMSE_ci95,DA%_ci95,Sharpe_ci95,IC_ci95,Prec_ci95,Rec_ci95,F1_ci95,ESS_ci95,base_rate_DA%_ci95,DA_skill%_ci95,train_time_sec_ci95,DA%_gated_ci95,Sharpe_gated_ci95,IC_gated_ci95,gate_coverage_ci95,gate_tau_ci95
0,0 — Reference,3,0.0686959635646774,0.0015618374058411011,0.09273922919792144,0.0019484117097869672,54.120676968359085,3.9678849892816195,0.772079811807274,0.26834156426811223,0.2813474082926237,0.06807711401919248,0.5770827671028423,0.06825591601964527,0.4932956316693977,0.04045899678223925,0.4819052081238899,0.055922888996377026,100.0,0.0,57.84,0.0,-3.72,3.9656147064484215,64.08999999999999,16.155646071884583,80.05952386911174,12.094653455298149,1.0247221387568068,0.08649581655572267,0.2641112136439195,0.052981434913801174,0.29766052762568446,0.08617576950006801,0.03606138533602158,0.006140844009657461,0.0017673854035178617,0.00220483540926994,4.4900845546834285,0.3036570657553213,0.07703650660508189,0.07723884011594431,0.04578366485940134,0.06328270623120288,0.0,0.0,4.487515487809857,18.281834552728373,13.686388799216383,0.09787923062555702,0.059954137590690064,0.09751706328823534,0.006949019166373383
0p,0 — Reference,3,0.07120940255575248,0.0015771288608375214,0.09532270049129965,0.0012703861926432606,55.94186902133922,1.2733084974740436,0.8414750273033821,0.024520982569023755,0.18490346263877275,0.04005233676770709,0.6605710116833733,0.08818411147655766,0.5097493105791137,0.00911652393253061,0.48881902922367626,0.06148060441322136,100.0,0.0,57.84,0.0,-1.8966666666666665,1.2764925903949984,70.88666666666667,11.594297448889828,66.09915006185243,2.549073243280068,0.7210391273647647,0.09128390548009113,0.09681075467348843,0.07073216711910082,0.2895304463248714,0.04380665775585483,0.038531445587674774,0.009460096860676052,0.001784689313808491,0.0014375773081828458,1.440884207405031,0.027748103938559174,0.0453234857324381,0.09978971617850753,0.01031631799117962,0.06957185327551194,0.0,0.0,1.4444873477389055,13.120182676235022,2.8845479214559666,0.10329746330715751,0.08004098202409378,0.04957189986937557,0.010705107359379656
1,1 — Component knockouts,3,0.0695509911723934,0.0007809569509590814,0.0945167747579102,0.0003903282142143954,53.715967623252396,2.64517137130518,0.7079437660816704,0.07741817049171233,0.2561552109940931,0.07740128574464895,0.6050596952913354,0.06039182322633182,0.5376225637131476,0.048786847072889016,0.5472074697911129,0.02271641145697016,100.0,0.0,57.84,0.0,-4.123333333333333,2.6477222915806964,57.85333333333333,10.620533571028027,73.51518256068755,3.1472564405154646,0.8199855461566029,0.089342582364903,0.4088852880833136,0.10867563314062535,0.23709971793595486,0.006302777472448172,0.03843945140639941,0.005947876191799496,0.0008837359834890007,0.00044169795511601477,2.993293190420445,0.08760690708417458,0.0875878001941806,0.06833978137728694,0.05520751460927334,0.02570603948861988,0.0,0.0,2.9961798284556367,12.018265115694158,3.5614559321551584,0.1011006493978072,0.1229780558542624,0.007132264129906111,0.006730655524066331
2,1 — Component knockouts,3,0.07313094893141904,0.004011911143282365,0.09922032114407424,0.00340039189132456,51.69242089771891,6.212552913165357,0.3955817605888465,0.4033167151823076,0.1449279629784602,0.15144326010332151,0.5577326532845654,0.09905750596338876,0.5051132049078774,0.08508225370425067,0.5171520803219706,0.08398452244290322,100.0,0.0,57.84,0.0,-6.146666666666667,6.215000670420989,62.36333333333334,10.269782535834597,62.52971361237036,8.452319698555371,0.5064193341713527,0.37226001680143744,0.2522484289664553,0.1755484368145217,0.2935125269620043,0.10431646870723306,0.03668117212752501,0.022630626566017345,0.004539904837936308,0.003847905660660653,7.030165429670793,0.45639582759519465,0.1713741816957101,0.1120941203571023,0.09627963367564195,0.0950374338147378,0.0,0.0,7.032935327759274,11.621352954702724,9.564700144345931,0.42125186498133527,0.19865175701133694,0.11804519692650307,0.025608964746047222
3,1 — Component knockouts,3,0.06769509683461178,0.0015229884761596478,0.09022808107626722,0.0005326506984463075,57.06401766004415,4.507853831492743,1.0924427259670646,0.3636094401080089,0.35069269840162093,0.07262002360776304,0.6260545141259324,0.05861097932915341,0.5584675539213727,0.05050536706887485,0.5876912716200297,0.053344567829701886,100.0,0.0,57.84,0.0,-0.7733333333333333,4.507708212976227,64.14333333333333,8.185721308066462,82.8598476331247,0.8918199166024764,1.1488543449985062,0.1359296713417414,0.38603844088433753,0.14227838439162968,0.27542724406835906,0.05686750067399093,0.04057747684419155,0.005940068330422077,0.0017234237010996026,0.0006027510072987549,5.10111682123645,0.41146281592744616,0.08217729274985798,0.06632456679858245,0.05715220305456208,0.06036506116871397,0.0,0.0,5.100952038372619,9.26301566541792,1.0091892390814543,0.15381890338642304,0.16100314851560998,0.06435163497164897,0.006721820097164956
4,1 — Component knockouts,3,0.06926895235952645,0.0025241845431932712,0.0934890634171996,0.003168431334445132,56.69610007358352,1.116555622184954,0.9297669103916713,0.10958033428239296,0.33581714376579086,0.030350650746057087,0.6414338018640607,0.043482958089064355,0.5434043736594594,0.0552749458096906,0.5332139454038803,0.07498473698599614,100.0,0.0,57.84,0.0,-1.1433333333333333,1.1159002344893263,55.6,3.67755353462053,80.49957690073121,11.597634964521104,1.0414996170135262,0.06986026611291693,0.32218608642819135,0.15356098113108604,0.28322548531607766,0.06720314119158853,0.04405162793894609,0.00948090060967403,0.0028563837059739786,0.003585417580347455,1.2635016305059996,0.12400182157182436,0.0343449945015001,0.04920559921344974,0.06254948949162702,0.08485321784459719,0.0,0.0,1.262759989511511,4.161543585417949,13.12395943070938,0.0790543331540649,0.17377060863438892,0.07604751324841005,0.010728649017544561
5,1 — Component knockouts,3,0.06856421336950759,0.0027064877586538754,0.09207685573912187,0.0027434124419010446,56.43855776306108,4.0276894522231705,1.0006659673718026,0.22695490365814083,0.3060103832875977,0.07705160622768188,0.6105182997097186,0.049598294657306766,0.5388723472283282,0.04161024002310021,0.5650009404033415,0.04522102800611377,100.0,0.0,57.84,0.0,-1.3999999999999997,4.031215697528476,60.56333333333333,10.829682974738148,78.68006469757167,9.603731845031016,1.052626486624002,0.20198995118634888,0.34151438852821697,0.08167442538874724,0.29301476688236266,0.048365616589218195,0.041694781432549156,0.006070874852631211,0.003062679214593794,0.003104463427186284,4.5577596753283975,0.2568236504530291,0.08719210057020856,0.056125753992615185,0.047086419225628416,0.051172410477028335,0.0,0.0,4.561749997533841,12.254939946178618,10.867645645269132,0.22857314727443429,0.0924233129088384,0.05473084744432242,0.006869841611550992
6,1 — Component knockouts,3,0.07059842530299226,0.00045388819312688206,0.0943503979334755,0.0018034300584413032,51.89477557027226,2.8282430562291765,0.5970815505112742,0.10076019748465076,0.2553700787855894,0.05606312594675179,0.5998184893230974,0.139539791047882,0.4632342165913966,0.016296087559695676,0.4257007417416756,0.020912099140560525,100.0,0.0,57.84,0.0,-5.9433333333333325,2.829033992961791,86.21999999999998,5.101440972901678,79.84358264442011,8.673668739942562,1.0821621706656386,0.12126964197819436,0.25298852603788274,0.07025144455700343,0.3008130081300813,0.06943054308700732,0.04227784555405378,0.01129832677675233,0.0005136228421482445,0.002040773226223268,3.2004583041013057,0.11402089719707142,0.06344139927965932,0.15790413841135126,0.018440759057082902,0.02366426789352061,0.0,0.0,3.2013533332708604,5.772823905161149,9.815180164460262,0.1372295184636545,0.07949699323485417,0.07856805577288055,0.012785260331662617
7,1 — Component knockouts,3,0.07201911817076061,0.0003191677373313249,0.0954451896726023,0.0013682460541312694,50.82781456953643,3.721791456972933,0.6034625500155976,0.26739378409521325,0.2012689693067237,0.0728504227387154,0.5437856351013753,0.058449225756772465,0.49143136432063733,0.048649535929376715,0.5136118543069864,0.05572490772840485,100.0,0.0,57.84,0.0,-7.013333333333333,3.724410467890634,75.45,0.7700000000000062,72.69573287795443,3.604556890749875,0.8198600488940078,0.1993475710032163,0.28065757697897126,0.1588125492540968,0.26514020242243236,0.050412391206064326,0.044416615118583046,0.00686207847669347,0.000361172294967173,0.0015483161662338501,4.211603507119906,0.30258455152492797,0.08243801391039973,0.06614152540021168,0.055052132422960996,0.06305866933602074,0.0,0.0,4.214567196970263,0.8713370262609903,4.078940106720171,0.22558301261076974,0.17971331740258525,0.05704699096129537,0.007765172797209853
8,2 — News side,3,0.07070266708958654,0.0014108874799100286,0.09524568392934633,0.0004993622544320775,53.89992641648271,2.2365183224499545,0.749342449528453,0.11935723141516026,0.23652139032390743,0.0310605721782955,0.5838053222559658,0.016913849949692427,0.519467813703156,0.016696588508883482,0.5461623131966876,0.015501993803442204,100.0,0.0,57.84,0.0,-3.9433333333333334,2.237550744303541,74.17333333333333,0.6073988255943026,75.34936553322306,5.718271459463012,0.903574198412323,0.09677781376146963,0.3282311445497352,0.16328093353093465,0.24174547867927657,0.10790071589652935,0.0449831485748291,0.005453366458444734,0.0015965694819917624,0.0005650815867582167,2.5308587328074625,0.13506542218705161,0.03514834622831251,0.019139823010116207,0.01889396854549849,0.017542157378970805,0.0,0.0,2.53202702811623,0.687336475906173,6.470833310183836,0.1095144057804652,0.1847697702181323,0.12210115444248451,0.006171065081834576
