model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1
lstm,none,none,none,True,True,5,0.06891196221113205,0.09534453600645065,64.97373029772329,1.038903248282553,0.37090690376784424,0.8446601941747572,0.3210332103321033,0.46524064171122986
lstm,early,matched,scalars,True,True,5,0.06813187897205353,0.09756409376859665,61.99649737302977,0.615350683516762,0.3080571995988724,0.6310679611650486,0.4797047970479705,0.5450733752620545
lstm,late,matched,scalars,True,True,5,0.06798186153173447,0.09868532419204712,59.54465849387041,1.212242430158709,0.615099607416213,0.8846153846153846,0.16974169741697417,0.2848297213622291
lstm,hybrid,matched,scalars,True,True,5,0.06784140318632126,0.09789155423641205,56.3922942206655,0.7133070674060435,0.36103985732256016,0.6909090909090909,0.14022140221402213,0.2331288343558282
lstm,cmtf,matched,scalars,True,True,5,0.06891511380672455,0.09988834708929062,53.41506129597198,0.11422552297194088,0.5240818646293143,1.0,0.01845018450184502,0.036231884057971016
rf,none,none,none,True,True,5,0.06545761227607727,0.09865172952413559,65.8493870402802,0.7590569628306814,0.4298581336254661,0.7151162790697675,0.45387453874538747,0.5553047404063206
rf,late,matched,scalars,True,True,5,0.06570178270339966,0.09878403693437576,70.92819614711033,0.8209438446460903,0.4498220822797185,0.8714285714285714,0.45018450184501846,0.5936739659367396
chronos_ft,none,none,none,True,True,5,0.07077161967754364,0.10133295506238937,49.38704028021016,0.23302255758388984,-0.013498735785368693,0.477124183006536,0.8081180811808119,0.6000000000000001
chronos_ft,late,matched,scalars,True,True,5,0.07019732892513275,0.10112401843070984,47.8108581436077,-0.058182748619494386,-0.016270076112398186,0.4639175257731959,0.6642066420664207,0.5462822458270107
chronos_ft,hybrid,matched,scalars,True,True,5,0.06998540461063385,0.10102628171443939,52.1891418563923,0.20904371973988645,0.042695208417868474,0.49563318777292575,0.8376383763837638,0.6227709190672153
cnn_lstm,none,none,none,True,True,5,0.0682174563407898,0.09891625493764877,61.12084063047285,0.6685562546351793,0.36071437902309367,0.5545243619489559,0.8819188191881919,0.6809116809116809
cnn_lstm,early,matched,scalars,True,True,5,0.07266820222139359,0.10099559277296066,64.79859894921191,0.7292492967305056,0.33684031257022107,0.6223021582733813,0.6383763837638377,0.6302367941712204
cnn_lstm,late,matched,scalars,True,True,5,0.06519188731908798,0.09495892375707626,70.2276707530648,1.4970411076461452,0.4727370997497884,0.7323943661971831,0.5756457564575646,0.6446280991735537
cnn_lstm,hybrid,matched,scalars,True,True,5,0.0671267956495285,0.09873931854963303,65.32399299474606,0.6953596810302138,0.32294744315445256,0.6059701492537314,0.7490774907749077,0.66996699669967
cnn_lstm,cmtf,matched,scalars,True,True,5,0.06905495375394821,0.09919091314077377,57.79334500875657,0.6035589590738675,0.11153858008434572,0.5736842105263158,0.4022140221402214,0.472885032537961
