model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1
lstm,late,matched,none,True,True,5,0.02873491495847702,0.046431947499513626,52.02702702702703,0.49710160483236754,0.25991094951148863,0.9166666666666666,0.03741496598639456,0.07189542483660132
lstm,late,matched,scalars,True,True,5,0.02888413891196251,0.04668555408716202,50.33783783783784,0.021478330974763375,0.2381423831413177,0.0,0.0,0.0
lstm,late,matched,weighted_emb,True,True,5,0.03222817927598953,0.04869166761636734,51.689189189189186,0.802223398417655,0.09847437514581373,0.518918918918919,0.32653061224489793,0.40083507306889354
rf,late,matched,none,True,True,5,0.02884986624121666,0.04640974849462509,53.88513513513513,0.5709081445404186,0.08976769469247724,0.532258064516129,0.4489795918367347,0.48708487084870844
rf,late,matched,scalars,True,True,5,0.0292185191065073,0.04662904888391495,51.858108108108105,0.35753506302527466,0.07998470451407817,0.5207100591715976,0.29931972789115646,0.3801295896328294
rf,late,matched,weighted_emb,True,True,5,0.029218917712569237,0.046634506434202194,51.858108108108105,0.35753506302527466,0.08025482348269761,0.5207100591715976,0.29931972789115646,0.3801295896328294
chronos_ft,late,matched,none,True,True,5,0.028880052268505096,0.046493854373693466,51.182432432432435,0.6773099793871035,0.060023375638591954,0.5,0.41836734693877553,0.45555555555555555
chronos_ft,late,matched,scalars,True,True,5,0.028854206204414368,0.04638569802045822,53.71621621621622,0.8681658592611674,0.0833505447955379,0.5335968379446641,0.45918367346938777,0.4936014625228519
chronos_ft,late,matched,weighted_emb,True,True,5,0.02888750284910202,0.04659416526556015,52.195945945945944,0.47509725294773375,0.046203658974212414,0.5151515151515151,0.3469387755102041,0.41463414634146345
cnn_lstm,late,matched,none,True,True,5,0.028764456510543823,0.04619981348514557,52.702702702702695,1.2865400934640132,0.11122608715422637,0.5155555555555555,0.3945578231292517,0.44701348747591524
cnn_lstm,late,matched,scalars,True,True,5,0.029019895941019058,0.0466439425945282,47.46621621621622,0.23996141100008353,-0.06810426232813692,0.4583333333333333,0.41156462585034015,0.43369175627240136
cnn_lstm,late,matched,weighted_emb,True,True,5,0.02883930131793022,0.0465654619038105,52.02702702702703,0.7622585636337194,0.09477129459960078,0.5555555555555556,0.15306122448979592,0.24
