model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1
lstm,none,none,none,True,True,5,0.01236135233193636,0.019161123782396317,52.41502683363149,0.4953607415075707,0.04811220958039072,0.44594594594594594,0.625,0.5205047318611987
lstm,early,matched,scalars,True,True,5,0.012228403240442276,0.01907709240913391,52.95169946332737,0.40892783437792374,0.06677423837044655,0.45933014354066987,0.36363636363636365,0.4059196617336152
lstm,late,matched,scalars,True,True,5,0.012322241440415382,0.01908014342188835,49.01610017889087,1.189259562073572,0.03765060073099507,0.43313373253493015,0.821969696969697,0.5673202614379086
lstm,hybrid,matched,scalars,True,True,5,0.012296890839934349,0.019108448177576065,48.3005366726297,-0.059950430108842614,0.020915283886369058,0.4175531914893617,0.5946969696969697,0.490625
lstm,cmtf,matched,scalars,True,True,5,0.01225953083485365,0.019081639125943184,50.44722719141323,-0.28529479165371024,0.06460346350228524,0.4263565891472868,0.625,0.5069124423963134
rf,none,none,none,True,True,5,0.012632820755243301,0.01956472359597683,53.48837209302325,0.4402400683237785,0.08361581069629177,0.4587628865979381,0.3371212121212121,0.38864628820960695
rf,late,matched,scalars,True,True,5,0.012539910152554512,0.01933097653090954,52.772808586762075,0.6307802026476591,0.038904143093708016,0.44776119402985076,0.3409090909090909,0.3870967741935484
chronos_ft,none,none,none,True,True,5,0.01244090124964714,0.019252650439739227,51.162790697674424,0.03954174497609486,0.0016722277113318186,0.43568464730290457,0.3977272727272727,0.4158415841584158
chronos_ft,late,matched,scalars,True,True,5,0.012390038929879665,0.01912533864378929,51.162790697674424,0.28049566407636434,0.03130234632003499,0.42857142857142855,0.4659090909090909,0.4464609800362976
chronos_ft,hybrid,matched,scalars,True,True,5,0.012264026328921318,0.019084403291344643,55.635062611806795,0.9835256745851924,0.05029735957402992,0.4859154929577465,0.5227272727272727,0.5036496350364964
cnn_lstm,none,none,none,True,True,5,0.012255461886525154,0.01901102438569069,51.878354203935594,1.3447903852358258,0.0747785124733016,0.45542168674698796,0.7159090909090909,0.5567010309278352
cnn_lstm,early,matched,scalars,True,True,5,0.012466514483094215,0.01911861076951027,51.341681574239715,0.646298204806417,-0.006630258238641453,0.4473007712082262,0.6590909090909091,0.5329249617151608
cnn_lstm,late,matched,scalars,True,True,5,0.012208073399960995,0.018942566588521004,57.78175313059034,2.32725833275348,0.12010129310599264,0.5294117647058824,0.375,0.4390243902439025
cnn_lstm,hybrid,matched,scalars,True,True,5,0.012329029850661755,0.019158022478222847,48.658318425760285,-0.45436320252200707,-0.04393184977565648,0.4334763948497854,0.7651515151515151,0.5534246575342465
cnn_lstm,cmtf,matched,scalars,True,True,5,0.012374856509268284,0.019063547253608704,51.52057245080501,0.6801933129221144,0.05219822771463879,0.4474708171206226,0.8712121212121212,0.5912596401028277
