model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1
lstm,hybrid,matched,scalars,True,True,5,0.02944048121571541,0.046713687479496,54.729729729729726,0.84190909106519,0.1371096110382854,0.6052631578947368,0.23469387755102042,0.338235294117647
lstm,hybrid,matched,scalars,False,True,5,0.02917400188744068,0.046507854014635086,55.067567567567565,0.8716468104702395,0.1989337979541635,0.6708860759493671,0.18027210884353742,0.28418230563002683
lstm,hybrid,matched,scalars,True,False,5,0.030012262985110283,0.04739442840218544,53.37837837837838,0.619417625166822,0.15090669979309612,0.660377358490566,0.11904761904761904,0.20172910662824206
lstm,hybrid,matched,scalars,True,True,3,0.028586700558662415,0.046088699251413345,55.23648648648649,1.2229544408810564,0.25467946395432717,0.71875,0.1564625850340136,0.2569832402234637
lstm,hybrid,matched,scalars,True,True,10,0.030689090490341187,0.04780742898583412,53.37837837837838,0.7878779236091475,0.06043876524204858,0.6024096385542169,0.17006802721088435,0.26525198938992045
lstm,hybrid,matched,scalars,False,False,5,0.031096121296286583,0.047860000282526016,49.1554054054054,0.32879604874396523,-0.005874107297022234,0.46621621621621623,0.23469387755102042,0.31221719457013575
chronos_ft,hybrid,matched,scalars,True,True,5,0.028888797387480736,0.04668571799993515,50.67567567567568,-0.01646035838552254,0.018840852520675577,0.5080645161290323,0.21428571428571427,0.30143540669856456
chronos_ft,hybrid,matched,scalars,False,True,5,0.028865959495306015,0.04664276912808418,53.04054054054054,0.508679174893731,0.11116149822342342,0.6666666666666666,0.10884353741496598,0.18713450292397657
chronos_ft,hybrid,matched,scalars,True,False,5,0.02888502925634384,0.04667429253458977,51.01351351351351,0.05023379186271197,0.04118728832149586,0.5073170731707317,0.35374149659863946,0.41683366733466937
chronos_ft,hybrid,matched,scalars,True,True,3,0.028890414163470268,0.046681035310029984,50.67567567567568,0.0527582842860785,0.023499751215727192,0.5084745762711864,0.10204081632653061,0.16997167138810199
chronos_ft,hybrid,matched,scalars,True,True,10,0.0288420170545578,0.04662522301077843,52.36486486486487,0.4235931009528997,0.07712166128459,0.5078369905956113,0.5510204081632653,0.5285481239804241
chronos_ft,hybrid,matched,scalars,False,False,5,0.028834806755185127,0.04660622030496597,53.20945945945946,0.5315681424582293,0.09671631455206921,0.5151515151515151,0.5204081632653061,0.5177664974619289
cnn_lstm,hybrid,matched,scalars,True,True,5,0.029867418110370636,0.04643092676997185,57.60135135135135,1.4686135060544288,0.09362565796989052,0.6054054054054054,0.38095238095238093,0.46764091858037576
cnn_lstm,hybrid,matched,scalars,False,True,5,0.02864433452486992,0.04553549736738205,57.60135135135135,1.7419312228210064,0.15804260576822887,0.6541353383458647,0.29591836734693877,0.40749414519906324
cnn_lstm,hybrid,matched,scalars,True,False,5,0.030157973989844322,0.046053774654865265,52.702702702702695,0.7887549146369177,0.10652378426199939,0.5125786163522013,0.5544217687074829,0.5326797385620915
cnn_lstm,hybrid,matched,scalars,True,True,3,0.02882799506187439,0.04649040475487709,51.520270270270274,0.34378328006278774,0.1511123115201168,1.0,0.023809523809523808,0.046511627906976744
cnn_lstm,hybrid,matched,scalars,True,True,10,0.029403317719697952,0.04622579365968704,47.46621621621622,0.0383782234949964,0.077744160250478,0.46993318485523383,0.717687074829932,0.5679676985195156
cnn_lstm,hybrid,matched,scalars,False,False,5,0.028652727603912354,0.045980069786310196,56.75675675675676,1.727806357786725,0.17190482804853735,0.569620253164557,0.45918367346938777,0.5084745762711864
